"areacd","year","value"
"E06000001","2021",7.6
"E06000002","2021",8
"E06000003","2021",8.2
"E06000004","2021",4.7
"E06000005","2021",5.3
"E06000006","2021",8.7
"E06000007","2021",4.6
"E06000008","2021",9.1
"E06000009","2021",10.2
"E06000010","2021",11
"E06000011","2021",7.5
"E06000012","2021",12.2
"E06000013","2021",9.2
"E06000014","2021",3.7
"E06000015","2021",6.3
"E06000016","2021",12
"E06000017","2021",1.1
"E06000018","2021",10.9
"E06000019","2021",4.6
"E06000020","2021",7.4
"E06000021","2021",7.8
"E06000022","2021",4.6
"E06000023","2021",4.7
"E06000024","2021",3.9
"E06000025","2021",4.4
"E06000026","2021",5.1
"E06000027","2021",7.4
"E06000030","2021",7.7
"E06000031","2021",6.6
"E06000032","2021",9.8
"E06000033","2021",5.6
"E06000034","2021",7.1
"E06000035","2021",6.4
"E06000036","2021",3.2
"E06000037","2021",2.5
"E06000038","2021",3.8
"E06000039","2021",9.2
"E06000040","2021",2.7
"E06000041","2021",NA
"E06000042","2021",4.4
"E06000043","2021",2
"E06000044","2021",6.1
"E06000045","2021",4.9
"E06000046","2021",8.8
"E06000047","2021",7.8
"E06000049","2021",4.4
"E06000050","2021",6.1
"E06000051","2021",4.8
"E06000052","2021",5.6
"E06000053","2021",NA
"E06000054","2021",2.8
"E06000055","2021",5.3
"E06000056","2021",5.5
"E06000057","2021",7.6
"E06000058","2021",4.9
"E06000059","2021",5.2
"E06000060","2021",4.8
"E06000061","2021",5.4
"E06000062","2021",5.3
"E07000008","2021",3.4
"E07000009","2021",5.1
"E07000010","2021",12.8
"E07000011","2021",6.5
"E07000012","2021",3.2
"E07000026","2021",7.3
"E07000027","2021",11.6
"E07000028","2021",5
"E07000029","2021",5.6
"E07000030","2021",8.1
"E07000031","2021",3.6
"E07000032","2021",5.7
"E07000033","2021",9.7
"E07000034","2021",7.6
"E07000035","2021",6.2
"E07000036","2021",4.9
"E07000037","2021",9.8
"E07000038","2021",4.3
"E07000039","2021",4.6
"E07000040","2021",6.4
