"areacd","year","value"
"E06000001","2022",6.1
"E06000002","2022",6.7
"E06000003","2022",2.3
"E06000004","2022",3.5
"E06000005","2022",3
"E06000006","2022",2.6
"E06000007","2022",2.2
"E06000008","2022",4.5
"E06000009","2022",6.3
"E06000010","2022",5.8
"E06000011","2022",2.6
"E06000012","2022",3.1
"E06000013","2022",2.4
"E06000014","2022",1.2
"E06000015","2022",3
"E06000016","2022",4.8
"E06000017","2022",NA
"E06000018","2022",6.2
"E06000019","2022",1.8
"E06000020","2022",5
"E06000021","2022",5
"E06000022","2022",4.2
"E06000023","2022",2.8
"E06000024","2022",2.6
"E06000025","2022",1.4
"E06000026","2022",3.4
"E06000027","2022",2.4
"E06000030","2022",5.3
"E06000031","2022",4.9
"E06000032","2022",6.5
"E06000033","2022",1.6
"E06000034","2022",8.2
"E06000035","2022",4.5
"E06000036","2022",4.6
"E06000037","2022",2.6
"E06000038","2022",3
"E06000039","2022",6.4
"E06000040","2022",2.5
"E06000041","2022",NA
"E06000042","2022",1.7
"E06000043","2022",3.8
"E06000044","2022",2.6
"E06000045","2022",4.3
"E06000046","2022",4.7
"E06000047","2022",4.5
"E06000049","2022",4
"E06000050","2022",2.7
"E06000051","2022",2.9
"E06000052","2022",2
"E06000053","2022",NA
"E06000054","2022",2.1
"E06000055","2022",1.4
"E06000056","2022",2.7
"E06000057","2022",4.6
"E06000058","2022",4.1
"E06000059","2022",1.6
"E06000060","2022",3
"E06000061","2022",4.7
"E06000062","2022",1
"E07000008","2022",2.9
"E07000009","2022",4.4
"E07000010","2022",NA
"E07000011","2022",2
"E07000012","2022",2
"E07000026","2022",5.6
"E07000027","2022",NA
"E07000028","2022",NA
"E07000029","2022",7.7
"E07000030","2022",6.9
"E07000031","2022",NA
"E07000032","2022",3.7
"E07000033","2022",NA
"E07000034","2022",NA
"E07000035","2022",NA
"E07000036","2022",5.3
"E07000037","2022",NA
"E07000038","2022",NA
"E07000039","2022",6.1
"E07000040","2022",1.9
"E07000041","2022",4.1
"E07000042","2022",5
"E07000043","2022",NA
"E07000044","2022",NA
"E07000045","2022",NA
"E07000046","2022",NA
"E07000047","2022",NA
"E07000061","2022",NA
"E07000062","2022",NA
"E07000063","2022",4.5
"E07000064","2022",3.7
"E07000065","2022",8.6
"E07000066","2022",1.8
"E07000067","2022",3.3
"E07000068","2022",NA
"E07000069","2022",5.3
"E07000070","2022",3.2
"E07000071","2022",NA
"E07000072","2022",3.7
"E07000073","2022",NA
"E07000074","2022",NA
"E07000075","2022",NA
"E07000076","2022",6.8
"E07000077","2022",NA
"E07000078","2022",NA
"E07000079","2022",2.8
"E07000080","2022",4.8
"E07000081","2022",3.6
"E07000082","2022",1.6
"E07000083","2022",NA
"E07000084","2022",1.7
"E07000085","2022",4.4
"E07000086","2022",NA
"E07000087","2022",1.7
"E07000088","2022",NA
"E07000089","2022",4.8
"E07000090","2022",NA
"E07000091","2022",4
"E07000092","2022",NA
"E07000093","2022",6.1
"E07000094","2022",NA
"E07000095","2022",NA
"E07000096","2022",NA
"E07000098","2022",5.2
"E07000099","2022",NA
"E07000102","2022",4
"E07000103","2022",NA
"E07000105","2022",3.2
"E07000106","2022",NA
"E07000107","2022",NA
"E07000108","2022",NA
"E07000109","2022",NA
"E07000110","2022",4.5
"E07000111","2022",NA
"E07000112","2022",NA
"E07000113","2022",3
"E07000114","2022",8.8
"E07000115","2022",NA
"E07000116","2022",9.1
"E07000117","2022",NA
"E07000118","2022",NA
"E07000119","2022",NA
"E07000120","2022",NA
"E07000121","2022",4.1
"E07000122","2022",NA
"E07000123","2022",5.3
"E07000124","2022",NA
"E07000125","2022",7.1
"E07000126","2022",3.5
"E07000127","2022",6.1
"E07000128","2022",4.9
"E07000129","2022",2.9
"E07000130","2022",3
"E07000131","2022",NA
"E07000132","2022",NA
"E07000133","2022",NA
"E07000134","2022",2.5
"E07000135","2022",6.2
"E07000136","2022",NA
"E07000137","2022",NA
"E07000138","2022",NA
"E07000139","2022",NA
"E07000140","2022",NA
"E07000141","2022",NA
"E07000142","2022",1.2
"E07000143","2022",NA
"E07000144","2022",NA
"E07000145","2022",NA
"E07000146","2022",6.1
"E07000147","2022",NA
"E07000148","2022",NA
"E07000149","2022",NA
"E07000163","2022",NA
"E07000164","2022",4.2
"E07000165","2022",NA
"E07000166","2022",NA
"E07000167","2022",NA
"E07000168","2022",3.8
"E07000169","2022",NA
"E07000170","2022",NA
"E07000171","2022",3.5
"E07000172","2022",4.6
"E07000173","2022",2.8
"E07000174","2022",NA
"E07000175","2022",NA
"E07000176","2022",NA
"E07000177","2022",NA
"E07000178","2022",NA
"E07000179","2022",2.8
"E07000180","2022",NA
"E07000181","2022",NA
"E07000187","2022",NA
"E07000188","2022",5.1
"E07000189","2022",2.6
"E07000192","2022",4.1
"E07000193","2022",3.2
"E07000194","2022",NA
"E07000195","2022",NA
"E07000196","2022",NA
"E07000197","2022",NA
"E07000198","2022",3
"E07000199","2022",NA
"E07000200","2022",NA
"E07000202","2022",NA
"E07000203","2022",NA
"E07000207","2022",3.7
"E07000208","2022",8.4
"E07000209","2022",NA
"E07000210","2022",NA
"E07000211","2022",NA
"E07000212","2022",NA
"E07000213","2022",NA
"E07000214","2022",4.7
"E07000215","2022",5.2
"E07000216","2022",NA
"E07000217","2022",NA
"E07000218","2022",7.2
"E07000219","2022",2.1
"E07000220","2022",2.2
"E07000221","2022",2.5
"E07000222","2022",2.2
"E07000223","2022",NA
"E07000224","2022",NA
"E07000225","2022",NA
"E07000226","2022",NA
"E07000227","2022",NA
"E07000228","2022",NA
"E07000229","2022",NA
"E07000234","2022",NA
"E07000235","2022",4.4
"E07000236","2022",NA
"E07000237","2022",3.5
"E07000238","2022",5.2
"E07000239","2022",NA
"E07000240","2022",NA
"E07000241","2022",NA
"E07000242","2022",2
"E07000243","2022",5.3
"E07000244","2022",NA
"E07000245","2022",NA
"E07000246","2022",1.5
"E08000001","2022",5.7
"E08000002","2022",2.8
"E08000003","2022",6
"E08000004","2022",3
"E08000005","2022",3
"E08000006","2022",6.9
"E08000007","2022",5.2
"E08000008","2022",3.9
"E08000009","2022",4.4
"E08000010","2022",5.7
"E08000011","2022",3.2
"E08000012","2022",2.6
"E08000013","2022",3.2
"E08000014","2022",4.2
"E08000015","2022",2.9
