"areacd","year","value"
"E06000001","2020",41.63
"E06000002","2020",36.18
"E06000003","2020",45.25
"E06000004","2020",40.97
"E06000005","2020",43.18
"E06000006","2020",40.99
"E06000007","2020",42.58
"E06000008","2020",36.63
"E06000009","2020",43.48
"E06000010","2020",35.9
"E06000011","2020",49.52
"E06000012","2020",42.68
"E06000013","2020",44.46
"E06000014","2020",37.55
"E06000015","2020",37.2
"E06000016","2020",31.74
"E06000017","2020",47.85
"E06000018","2020",29.68
"E06000019","2020",47.68
"E06000020","2020",39.62
"E06000021","2020",37.89
"E06000022","2020",37.69
"E06000023","2020",32.37
"E06000024","2020",46.13
"E06000025","2020",40.66
"E06000026","2020",38.83
"E06000027","2020",49.56
"E06000030","2020",40.46
"E06000031","2020",37.06
"E06000032","2020",34.84
"E06000033","2020",42.06
"E06000034","2020",36.91
"E06000035","2020",38.38
"E06000036","2020",39.6
"E06000037","2020",43.79
"E06000038","2020",35.12
"E06000039","2020",35.32
"E06000040","2020",42.55
"E06000041","2020",41.6
"E06000042","2020",38.34
"E06000043","2020",35.27
"E06000044","2020",34.22
"E06000045","2020",32.27
"E06000046","2020",50.96
"E06000047","2020",43.14
"E06000049","2020",46.57
"E06000050","2020",44.64
"E06000051","2020",48.16
"E06000052","2020",47.91
"E06000053","2020",48.82
"E06000054","2020",45.05
"E06000055","2020",40.69
"E06000056","2020",40.92
"E06000057","2020",48.75
"E06000058","2020",42.76
"E06000059","2020",51.4
"E06000060","2020",42.26
"E06000061","2020",41.45
"E06000062","2020",40.71
"E07000008","2020",29.83
"E07000009","2020",43.75
"E07000010","2020",45.08
"E07000011","2020",43.56
"E07000012","2020",43.25
"E07000026","2020",48.57
"E07000027","2020",44.95
"E07000028","2020",45.31
"E07000029","2020",47.33
"E07000030","2020",51.25
"E07000031","2020",51.6
"E07000032","2020",46.22
"E07000033","2020",43.92
"E07000034","2020",44.71
"E07000035","2020",51.5
"E07000036","2020",43.93
"E07000037","2020",46.36
"E07000038","2020",47.9
"E07000039","2020",41.94
"E07000040","2020",51.31
"E07000041","2020",33.39
"E07000042","2020",46.79
"E07000043","2020",48.37
"E07000044","2020",51.68
"E07000045","2020",49.61
"E07000046","2020",51.11
"E07000047","2020",51.72
"E07000061","2020",46.3
"E07000062","2020",43.68
"E07000063","2020",48.18
"E07000064","2020",53.37
"E07000065","2020",49.2
"E07000066","2020",39.31
"E07000067","2020",43.6
"E07000068","2020",43.17
"E07000069","2020",46.88
"E07000070","2020",41.76
"E07000071","2020",37.83
"E07000072","2020",42.59
"E07000073","2020",37.66
"E07000074","2020",49.39
"E07000075","2020",46.23
"E07000076","2020",51.08
"E07000077","2020",43.79
"E07000078","2020",40.99
"E07000079","2020",49.44
"E07000080","2020",48.47
"E07000081","2020",39.36
"E07000082","2020",46.8
"E07000083","2020",44.42
"E07000084","2020",41.4
"E07000085","2020",47.35
"E07000086","2020",42.04
"E07000087","2020",47
"E07000088","2020",42.82
"E07000089","2020",43.9
"E07000090","2020",45.96
"E07000091","2020",51.21
"E07000092","2020",39.15
"E07000093","2020",45.11
"E07000094","2020",43.71
"E07000095","2020",40.34
"E07000096","2020",40.85
"E07000098","2020",40.86
"E07000099","2020",42.48
"E07000102","2020",42.03
"E07000103","2020",37.33
"E07000105","2020",42.26
"E07000106","2020",38.05
"E07000107","2020",37.37
"E07000108","2020",46.74
"E07000109","2020",39.84
"E07000110","2020",41.5
"E07000111","2020",44.26
"E07000112","2020",47.61
"E07000113","2020",41.14
"E07000114","2020",45.32
"E07000115","2020",42.41
"E07000116","2020",43.51
"E07000117","2020",39.93
"E07000118","2020",43.5
"E07000119","2020",50.89
"E07000120","2020",39.93
"E07000121","2020",39.05
"E07000122","2020",39.88
"E07000123","2020",35.33
"E07000124","2020",48.23
"E07000125","2020",42.53
"E07000126","2020",44.65
"E07000127","2020",44.56
"E07000128","2020",50.07
"E07000129","2020",42.78
"E07000130","2020",38.3
"E07000131","2020",46.28
"E07000132","2020",45.12
"E07000133","2020",47.96
"E07000134","2020",43.9
"E07000135","2020",42.4
"E07000136","2020",41.81
"E07000137","2020",52.81
"E07000138","2020",33.09
"E07000139","2020",46.32
"E07000140","2020",46.47
"E07000141","2020",46.75
"E07000142","2020",48.51
"E07000143","2020",47.06
"E07000144","2020",48.2
"E07000145","2020",46.23
"E07000146","2020",48.23
"E07000147","2020",54.71
"E07000148","2020",33.25
"E07000149","2020",46.26
"E07000163","2020",50.96
"E07000164","2020",50.27
"E07000165","2020",47.77
"E07000166","2020",44.49
"E07000167","2020",50.75
"E07000168","2020",50.38
"E07000169","2020",44.5
"E07000170","2020",41.93
"E07000171","2020",45.8
"E07000172","2020",42.93
"E07000173","2020",43.91
"E07000174","2020",42.09
"E07000175","2020",45.53
"E07000176","2020",43.59
"E07000177","2020",41.48
"E07000178","2020",28.61
"E07000179","2020",44.39
"E07000180","2020",42.53
"E07000181","2020",44.73
"E07000187","2020",47.25
"E07000188","2020",47.02
"E07000189","2020",48.05
"E07000192","2020",42.4
"E07000193","2020",41.8
"E07000194","2020",46.56
"E07000195","2020",41.84
"E07000196","2020",48.12
"E07000197","2020",45.49
"E07000198","2020",48.97
"E07000199","2020",41.34
"E07000200","2020",49.1
"E07000202","2020",38.54
"E07000203","2020",47.99
"E07000207","2020",43.37
"E07000208","2020",41.69
"E07000209","2020",37.09
"E07000210","2020",47.63
"E07000211","2020",41.77
"E07000212","2020",37.36
"E07000213","2020",42.01
"E07000214","2020",44.08
"E07000215","2020",44.23
"E07000216","2020",45.27
"E07000217","2020",41.49
"E07000218","2020",45.61
"E07000219","2020",41.24
"E07000220","2020",41
"E07000221","2020",48.19
"E07000222","2020",39.67
"E07000223","2020",45.84
"E07000224","2020",49.97
"E07000225","2020",49.63
"E07000226","2020",37.81
"E07000227","2020",46.37
"E07000228","2020",43.86
"E07000229","2020",45.41
"E07000234","2020",45.46
"E07000235","2020",50.9
"E07000236","2020",40.34
"E07000237","2020",39.1
"E07000238","2020",48.37
"E07000239","2020",46.96
"E07000240","2020",41.22
"E07000241","2020",35.78
"E07000242","2020",42.69
"E07000243","2020",38.44
"E07000244","2020",49.55
"E07000245","2020",41.87
"E07000246","2020",48.18
"E08000001","2020",38.87
"E08000002","2020",40.38
"E08000003","2020",30.26
"E08000004","2020",37.26
"E08000005","2020",38.19
"E08000006","2020",34.72
"E08000007","2020",42.29
"E08000008","2020",40.13
"E08000009","2020",40.87
"E08000010","2020",42.03
"E08000011","2020",39.22
"E08000012","2020",34.77
"E08000013","2020",42.77
"E08000014","2020",46.54
"E08000015","2020",44.41
"E08000016","2020",42.27
"E08000017","2020",41.22
"E08000018","2020",41.78
"E08000019","2020",35.28
"E08000021","2020",32.11
"E08000022","2020",43.3
"E08000023","2020",43.23
"E08000024","2020",42.05
"E08000025","2020",32.68
"E08000026","2020",32.02
"E08000027","2020",41.87
"E08000028","2020",36.76
"E08000029","2020",42.91
"E08000030","2020",38.26
"E08000031","2020",37.82
"E08000032","2020",36.68
"E08000033","2020",42.42
"E08000034","2020",39.91
"E08000035","2020",35.11
"E08000036","2020",41.38
"E08000037","2020",41.54
"E09000001","2020",36.09
"E09000002","2020",32.68
"E09000003","2020",37.66
"E09000004","2020",39.03
"E09000005","2020",36.01
"E09000006","2020",41.09
"E09000007","2020",34.02
"E09000008","2020",37.93
"E09000009","2020",37.43
"E09000010","2020",36.71
"E09000011","2020",35.26
"E09000012","2020",33.73
"E09000013","2020",35.36
"E09000014","2020",36.37
"E09000015","2020",38.42
"E09000016","2020",39.2
"E09000017","2020",36.54
"E09000018","2020",36.82
"E09000019","2020",31.87
"E09000020","2020",40.28
"E09000021","2020",37.71
"E09000022","2020",33.71
"E09000023","2020",35.55
"E09000024","2020",37.73
"E09000025","2020",32.66
"E09000026","2020",36.09
"E09000027","2020",41.57
"E09000028","2020",33.9
"E09000029","2020",39.8
"E09000030","2020",31.89
"E09000031","2020",35.62
"E09000032","2020",34.25
"E09000033","2020",36.33
"E10000003","2020",41.37
"E10000006","2020",48.33
"E10000007","2020",45.69
"E10000008","2020",47.65
"E10000011","2020",48.41
"E10000012","2020",42.72
"E10000013","2020",44.53
"E10000014","2020",44.7
"E10000015","2020",40.36
"E10000016","2020",42.22
"E10000017","2020",42.64
"E10000018","2020",42.98
"E10000019","2020",45.96
"E10000020","2020",45.96
"E10000023","2020",48.5
"E10000024","2020",43.7
"E10000025","2020",40.19
"E10000027","2020",47.69
"E10000028","2020",44.75
"E10000029","2020",45.64
"E10000030","2020",42.29
"E10000031","2020",42.79
"E10000032","2020",45.47
"E10000034","2020",45.3
"E12000001","2020",41.72
"E12000002","2020",40.33
"E12000003","2020",40.16
"E12000004","2020",41.36
"E12000005","2020",39.6
"E12000006","2020",41.81
"E12000007","2020",35.84
"E12000008","2020",41.85
"E12000009","2020",44.11
"E92000001","2020",40.18
"K02000001","2020",40.39
"N09000001","2020",39.83
"N09000002","2020",38.25
"N09000003","2020",36.22
"N09000004","2020",41.53
"N09000005","2020",38.33
"N09000006","2020",40.08
"N09000007","2020",40.55
"N09000008","2020",42.43
"N09000009","2020",37.04
"N09000010","2020",38.42
"N09000011","2020",44.39
"N92000002","2020",39.21
"S12000005","2020",45.19
"S12000006","2020",49.98
"S12000008","2020",44.88
"S12000010","2020",44.83
"S12000011","2020",43.66
"S12000013","2020",49.89
"S12000014","2020",43.57
"S12000017","2020",46.97
"S12000018","2020",46.26
"S12000019","2020",41.55
"S12000020","2020",45.66
"S12000021","2020",46.92
"S12000023","2020",48.31
"S12000026","2020",49.4
"S12000027","2020",44.47
"S12000028","2020",49.3
"S12000029","2020",44.24
"S12000030","2020",42.53
"S12000033","2020",37.64
"S12000034","2020",44.35
"S12000035","2020",50.01
"S12000036","2020",36.68
"S12000038","2020",42.71
"S12000039","2020",43.31
"S12000040","2020",41.15
"S12000041","2020",47.44
"S12000042","2020",37.09
"S12000045","2020",46.33
"S12000047","2020",43.94
"S12000048","2020",47.27
"S12000049","2020",35.69
"S12000050","2020",41.61
"S92000003","2020",42.09
"W06000001","2020",48.59
"W06000002","2020",42.97
"W06000003","2020",49.95
"W06000004","2020",46.63
"W06000005","2020",43.79
"W06000006","2020",42.52
"W06000008","2020",46.81
"W06000009","2020",48.49
"W06000010","2020",46.63
"W06000011","2020",39.85
"W06000012","2020",43.19
"W06000013","2020",42.9
"W06000014","2020",43.68
"W06000015","2020",33.57
"W06000016","2020",40.56
"W06000018","2020",41.67
"W06000019","2020",42.84
"W06000020","2020",41.89
"W06000021","2020",49.21
"W06000022","2020",38.7
"W06000023","2020",50.57
"W06000024","2020",40.38
"W92000004","2020",42.38
