"areacd","year","value"
"E06000001","2020",31.9
"E06000002","2020",31
"E06000003","2020",28.1
"E06000004","2020",38.4
"E06000005","2020",31.9
"E06000006","2020",40.6
"E06000007","2020",34.4
"E06000008","2020",28.7
"E06000009","2020",28.6
"E06000010","2020",30.2
"E06000011","2020",33.7
"E06000012","2020",29.2
"E06000013","2020",35.3
"E06000014","2020",35.7
"E06000015","2020",33.5
"E06000016","2020",34
"E06000017","2020",30.4
"E06000018","2020",32.8
"E06000019","2020",25.7
"E06000020","2020",32.1
"E06000021","2020",31.3
"E06000022","2020",28.8
"E06000023","2020",33.6
"E06000024","2020",31.4
"E06000025","2020",49
"E06000026","2020",31.3
"E06000027","2020",26.1
"E06000030","2020",50.8
"E06000031","2020",35.7
"E06000032","2020",36
"E06000033","2020",27.2
"E06000034","2020",37.9
"E06000035","2020",38.6
"E06000036","2020",48.3
"E06000037","2020",48.4
"E06000038","2020",43.7
"E06000039","2020",60.3
"E06000040","2020",53.2
"E06000041","2020",56.4
"E06000042","2020",46
"E06000043","2020",37.9
"E06000044","2020",36.9
"E06000045","2020",40
"E06000046","2020",31.9
"E06000047","2020",30.5
"E06000049","2020",43.6
"E06000050","2020",39.1
"E06000051","2020",28.4
"E06000052","2020",28.8
"E06000053","2020",42.4
"E06000054","2020",31.5
"E06000055","2020",31.7
"E06000056","2020",34
"E06000057","2020",29.1
"E06000058","2020",34.1
"E06000059","2020",31.9
"E06000060","2020",37.9
"E06000061","2020",27.8
"E06000062","2020",33.9
"E07000008","2020",34.8
"E07000009","2020",33.1
"E07000010","2020",27.7
"E07000011","2020",36.2
"E07000012","2020",36.6
"E07000026","2020",27.3
"E07000027","2020",40.8
"E07000028","2020",31.6
"E07000029","2020",27
"E07000030","2020",30.7
"E07000031","2020",29
"E07000032","2020",34.2
"E07000033","2020",42
"E07000034","2020",30.3
"E07000035","2020",25.3
"E07000036","2020",27.1
"E07000037","2020",26.2
"E07000038","2020",31.4
"E07000039","2020",58.7
"E07000040","2020",33.6
"E07000041","2020",36.3
"E07000042","2020",28.4
"E07000043","2020",30.1
"E07000044","2020",30.8
"E07000045","2020",28.3
"E07000046","2020",24.3
"E07000047","2020",26.2
"E07000061","2020",30.4
"E07000062","2020",29.1
"E07000063","2020",30.6
"E07000064","2020",27.9
"E07000065","2020",29.1
"E07000066","2020",39.8
"E07000067","2020",38.1
"E07000068","2020",52.3
"E07000069","2020",25.1
"E07000070","2020",35.8
"E07000071","2020",34.7
"E07000072","2020",41.7
"E07000073","2020",34.2
"E07000074","2020",29.8
"E07000075","2020",30.3
"E07000076","2020",28.4
"E07000077","2020",27.8
"E07000078","2020",32.8
"E07000079","2020",47.2
"E07000080","2020",44.3
"E07000081","2020",30
"E07000082","2020",30.9
"E07000083","2020",36.5
"E07000084","2020",50.9
"E07000085","2020",34.4
"E07000086","2020",41.4
"E07000087","2020",37.9
"E07000088","2020",31
"E07000089","2020",52.7
"E07000090","2020",36.7
"E07000091","2020",40.3
"E07000092","2020",74
"E07000093","2020",33.6
"E07000094","2020",39.6
"E07000095","2020",35.6
"E07000096","2020",31
"E07000098","2020",43.3
"E07000099","2020",37.9
"E07000102","2020",60.7
"E07000103","2020",38.6
"E07000105","2020",29.6
"E07000106","2020",28.8
"E07000107","2020",38.6
"E07000108","2020",41.4
"E07000109","2020",36
"E07000110","2020",33.7
"E07000111","2020",46.4
"E07000112","2020",34.2
"E07000113","2020",36.1
"E07000114","2020",27.8
"E07000115","2020",44.4
"E07000116","2020",39.4
"E07000117","2020",32
"E07000118","2020",30.1
"E07000119","2020",39.1
"E07000120","2020",27.8
"E07000121","2020",34.3
"E07000122","2020",29.8
"E07000123","2020",30.4
"E07000124","2020",35.1
"E07000125","2020",27.3
"E07000126","2020",40.6
"E07000127","2020",31
"E07000128","2020",33.8
"E07000129","2020",38.4
"E07000130","2020",33.5
"E07000131","2020",31.1
"E07000132","2020",36
"E07000133","2020",37.1
"E07000134","2020",33.9
"E07000135","2020",26.9
"E07000136","2020",28.1
"E07000137","2020",27.1
"E07000138","2020",32.2
"E07000139","2020",35
"E07000140","2020",32.3
"E07000141","2020",29.1
"E07000142","2020",32.6
"E07000143","2020",31
"E07000144","2020",47.4
"E07000145","2020",31
"E07000146","2020",32.5
"E07000147","2020",25.6
"E07000148","2020",30.6
"E07000149","2020",32
"E07000163","2020",29
"E07000164","2020",35.3
"E07000165","2020",34
"E07000166","2020",26.7
"E07000167","2020",33.9
"E07000168","2020",28
"E07000169","2020",36.5
"E07000170","2020",32.7
"E07000171","2020",26.4
"E07000172","2020",37.2
"E07000173","2020",32.6
"E07000174","2020",26.6
"E07000175","2020",28.9
"E07000176","2020",42.9
"E07000177","2020",36.5
"E07000178","2020",34
"E07000179","2020",39.7
"E07000180","2020",41.2
"E07000181","2020",33.9
"E07000187","2020",28
"E07000188","2020",30.9
"E07000189","2020",33.3
"E07000192","2020",30.5
"E07000193","2020",33.8
"E07000194","2020",29.8
"E07000195","2020",29.6
"E07000196","2020",32.3
"E07000197","2020",31.7
"E07000198","2020",27.3
"E07000199","2020",31.9
"E07000200","2020",34.6
"E07000202","2020",38.2
"E07000203","2020",31.8
"E07000207","2020",68.8
"E07000208","2020",34.5
"E07000209","2020",39.4
"E07000210","2020",52.4
"E07000211","2020",50.9
"E07000212","2020",65
"E07000213","2020",47.8
"E07000214","2020",45.6
"E07000215","2020",30.5
"E07000216","2020",36.7
"E07000217","2020",38.4
"E07000218","2020",37.8
"E07000219","2020",28.9
"E07000220","2020",35.4
"E07000221","2020",40.2
"E07000222","2020",43.8
"E07000223","2020",30.7
"E07000224","2020",30.9
"E07000225","2020",32.3
"E07000226","2020",36.7
"E07000227","2020",34.6
"E07000228","2020",34.1
"E07000229","2020",52.1
"E07000234","2020",35.5
"E07000235","2020",34.3
"E07000236","2020",32.9
"E07000237","2020",36.6
"E07000238","2020",32.1
"E07000239","2020",23.9
"E07000240","2020",34.9
"E07000241","2020",37.5
"E07000242","2020",30.2
"E07000243","2020",33.8
"E07000244","2020",33.6
"E07000245","2020",35.9
"E07000246","2020",27.9
"E08000001","2020",31.1
"E08000002","2020",30.6
"E08000003","2020",36
"E08000004","2020",30.8
"E08000005","2020",30.2
"E08000006","2020",38.4
"E08000007","2020",31.9
"E08000008","2020",31.1
"E08000009","2020",38.1
"E08000010","2020",30.1
"E08000011","2020",33.4
"E08000012","2020",32.6
"E08000013","2020",26.4
"E08000014","2020",32.2
"E08000015","2020",31.5
"E08000016","2020",28.2
"E08000017","2020",28.4
"E08000018","2020",28.3
"E08000019","2020",31.8
"E08000021","2020",32.9
"E08000022","2020",35.1
"E08000023","2020",28.2
"E08000024","2020",38.2
"E08000025","2020",32.1
"E08000026","2020",37.5
"E08000027","2020",30.7
"E08000028","2020",32.8
"E08000029","2020",46.3
"E08000030","2020",28.7
"E08000031","2020",30.2
"E08000032","2020",30
"E08000033","2020",35.8
"E08000034","2020",29.3
"E08000035","2020",34.7
"E08000036","2020",32.2
"E08000037","2020",30.5
"E09000001","2020",70.1
"E09000002","2020",35.9
"E09000003","2020",40.3
"E09000004","2020",51.4
"E09000005","2020",40.7
"E09000006","2020",42.9
"E09000007","2020",51.8
"E09000008","2020",49.7
"E09000009","2020",42.6
"E09000010","2020",43.3
"E09000011","2020",38.6
"E09000012","2020",38.2
"E09000013","2020",46.4
"E09000014","2020",33.1
"E09000015","2020",41.1
"E09000016","2020",40.9
"E09000017","2020",47.2
