"areacd","year","value"
"E06000001","2018",81.3
"E06000002","2018",80
"E06000003","2018",81.8
"E06000004","2018",81.4
"E06000005","2018",82.4
"E06000006","2018",81.1
"E06000007","2018",82.7
"E06000008","2018",80.3
"E06000009","2018",79.5
"E06000010","2018",80.2
"E06000011","2018",83.8
"E06000012","2018",82.2
"E06000013","2018",82.4
"E06000014","2018",83.4
"E06000015","2018",82.3
"E06000016","2018",81.9
"E06000017","2018",85.9
"E06000018","2018",81.3
"E06000019","2018",83.7
"E06000020","2018",81.9
"E06000021","2018",80.3
"E06000022","2018",85
"E06000023","2018",82.6
"E06000024","2018",84
"E06000025","2018",84.5
"E06000026","2018",82.1
"E06000027","2018",82.3
"E06000030","2018",83.3
"E06000031","2018",82.3
"E06000032","2018",82.5
"E06000033","2018",82.1
"E06000034","2018",82.5
"E06000035","2018",82.6
"E06000036","2018",84.9
"E06000037","2018",84.6
"E06000038","2018",83.1
"E06000039","2018",82.4
"E06000040","2018",84.6
"E06000041","2018",85.8
"E06000042","2018",83
"E06000043","2018",82.9
"E06000044","2018",82
"E06000045","2018",82.6
"E06000046","2018",83.5
"E06000047","2018",81.5
"E06000049","2018",84
"E06000050","2018",83
"E06000051","2018",83.5
"E06000052","2018",83.3
"E06000053","2018",NA
"E06000054","2018",84.2
"E06000055","2018",83.5
"E06000056","2018",84.3
"E06000057","2018",82.7
"E06000058","2018",83.5
"E06000059","2018",84.6
"E06000060","2018",NA
"E06000061","2018",NA
"E06000062","2018",NA
"E07000008","2018",83.6
"E07000009","2018",85.2
"E07000010","2018",82.2
"E07000011","2018",84.4
"E07000012","2018",85.7
"E07000026","2018",82.4
"E07000027","2018",81
"E07000028","2018",82.4
"E07000029","2018",81.7
"E07000030","2018",85.1
"E07000031","2018",84.7
"E07000032","2018",82.9
"E07000033","2018",82
"E07000034","2018",81.8
"E07000035","2018",84.8
"E07000036","2018",83.5
"E07000037","2018",83.4
"E07000038","2018",82.8
"E07000039","2018",82.9
"E07000040","2018",84.9
"E07000041","2018",83.8
"E07000042","2018",84.4
"E07000043","2018",83.2
"E07000044","2018",85
"E07000045","2018",84.5
"E07000046","2018",82.7
"E07000047","2018",83.3
"E07000061","2018",83.5
"E07000062","2018",81.6
"E07000063","2018",85.2
"E07000064","2018",83.7
"E07000065","2018",84.7
"E07000066","2018",82.6
"E07000067","2018",83
"E07000068","2018",84.6
"E07000069","2018",83
"E07000070","2018",84.3
"E07000071","2018",83.1
"E07000072","2018",83.8
"E07000073","2018",82.7
"E07000074","2018",83.3
"E07000075","2018",84.4
"E07000076","2018",81.6
"E07000077","2018",85.2
"E07000078","2018",83.5
"E07000079","2018",85.1
"E07000080","2018",83.3
