"areacd","value","id","xDomainNumb"
"E06000049",79.5,23,2005
"E06000035",77.5,23,2005
"E07000241",80.9,23,2005
"E07000047",81.6,23,2005
"E08000008",76.1,23,2005
"E07000043",83.1,23,2005
"E07000171",77.6,23,2005
"S12000039",74.3,23,2005
"E12000004",78.2,23,2005
"E06000037",84.7,23,2005
"E09000007",69,23,2005
"E06000001",69.6,23,2005
"E08000025",67.9,23,2005
"E07000165",83.5,23,2005
"E06000052",73.7,23,2005
"E07000080",72.7,23,2005
"W06000022",76.2,23,2005
"E09000002",67.3,23,2005
"E07000244",78.3,23,2005
"S12000005",75.1,23,2005
"E09000017",78.3,23,2005
"E06000016",70.7,23,2005
"E07000133",82.7,23,2005
"E12000001",73.2,23,2005
"E07000235",81.4,23,2005
"E07000134",81.6,23,2005
"E07000120",68.6,23,2005
"E06000008",69.3,23,2005
"E07000175",81.3,23,2005
"E06000009",74.1,23,2005
"E07000034",79.5,23,2005
"E07000128",72.9,23,2005
"E08000028",69.8,23,2005
"E07000110",76.5,23,2005
"E07000164",79.1,23,2005
"E12000007",73.4,23,2005
"E07000105",83.3,23,2005
"E09000020",71.7,23,2005
"E07000009",78.6,23,2005
"E07000010",71.3,23,2005
"E09000012",59.6,23,2005
"E06000013",78.4,23,2005
"E07000226",85.7,23,2005
"S12000014",79.3,23,2005
"E07000179",79.9,23,2005
"W06000008",69.2,23,2005
"E09000009",72.6,23,2005
"E08000019",72.2,23,2005
"E08000029",78.9,23,2005
"E08000024",72.4,23,2005
"E06000007",78.9,23,2005
"E07000027",75.6,23,2005
"S12000030",76.8,23,2005
"E07000095",84.1,23,2005
"S12000006",79.7,23,2005
"E07000066",78.5,23,2005
"E07000087",82.1,23,2005
"E07000039",89,23,2005
"E06000005",74.6,23,2005
"S12000023",86,23,2005
"E07000035",85,23,2005
"E08000016",71.3,23,2005
"E08000021",69.7,23,2005
"E07000028",78.5,23,2005
"K04000001",76.4,23,2005
"E07000163",81.2,23,2005
"E07000061",77.6,23,2005
"E06000050",75.6,23,2005
"E07000229",81.3,23,2005
"E07000196",79.9,23,2005
"E09000023",74.3,23,2005
"E09000010",75.1,23,2005
"E07000071",78.1,23,2005
"W06000014",75.6,23,2005
"E06000003",71.9,23,2005
"E07000202",77,23,2005
"S12000008",74.1,23,2005
"E09000001",74.6,23,2005
"E08000031",71.5,23,2005
"E07000026",75.6,23,2005
"E06000014",78.8,23,2005
"E07000207",83.8,23,2005
"E07000116",80.4,23,2005
"E07000121",78.8,23,2005
"E07000033",74.8,23,2005
"S12000020",78.7,23,2005
"E07000094",82.2,23,2005
"E08000009",77.7,23,2005
"E06000024",78.8,23,2005
"S12000026",79.7,23,2005
"E09000016",78.5,23,2005
"E06000046",77.8,23,2005
"E12000005",75,23,2005
"E09000006",81.8,23,2005
"S12000013",83.9,23,2005
"E07000209",87.4,23,2005
"E08000017",72.6,23,2005
"E07000036",82.8,23,2005
"K03000001",76.5,23,2005
"E07000089",86.8,23,2005
"E06000010",69.9,23,2005
"E07000172",75.2,23,2005
"E06000042",82.9,23,2005
"E07000030",83,23,2005
"W92000004",72.8,23,2005
"E06000021",70,23,2005
"E07000118",75.2,23,2005
"E07000031",78.5,23,2005
"E07000221",82.2,23,2005
"E07000222",74.7,23,2005
"E07000086",75.9,23,2005
"E07000239",74.5,23,2005
"E07000203",78.8,23,2005
"E06000043",78.1,23,2005
"E07000187",76.6,23,2005
"E08000037",73.4,23,2005
"E07000063",79.4,23,2005
"E08000002",80.5,23,2005
"E08000034",78.4,23,2005
"E06000025",84.4,23,2005
"W06000010",70.3,23,2005
"E09000027",78.2,23,2005
"E06000018",71.7,23,2005
"E06000011",79,23,2005
"S12000033",81.4,23,2005
"E07000111",74.4,23,2005
"E07000228",86.5,23,2005
"E07000044",78.6,23,2005
"S12000034",81.5,23,2005
"E07000099",81.3,23,2005
"W06000006",77.2,23,2005
"E07000139",75.5,23,2005
"E06000059",76.8,23,2005
"E06000051",79.6,23,2005
"E07000045",81.5,23,2005
"E07000144",81.6,23,2005
"E07000038",77.9,23,2005
"E92000001",76.6,23,2005
"E07000107",78.7,23,2005
"E09000021",77.8,23,2005
"E07000046",67.9,23,2005
"E06000044",79.2,23,2005
"E07000083",80.7,23,2005
"E08000030",72.8,23,2005
"E07000092",89.8,23,2005
"E07000115",81.2,23,2005
"E06000004",76.4,23,2005
"W06000015",72.2,23,2005
"E07000142",80,23,2005
"S12000019",81.9,23,2005
"E06000034",77.9,23,2005
"E07000225",75.2,23,2005
"S12000011",80.6,23,2005
"S12000038",77.3,23,2005
"E06000060",82.3,23,2005
"E09000005",72.6,23,2005
"E07000188",77.8,23,2005
"E07000131",81.4,23,2005
"E07000215",81.6,23,2005
"W06000024",65.9,23,2005
"E08000010",72.8,23,2005
"E06000030",81.5,23,2005
"E07000194",77.1,23,2005
"E07000138",78.8,23,2005
"E08000022",77.8,23,2005
"E08000018",76.1,23,2005
"E06000027",73.8,23,2005
"E07000166",80.2,23,2005
"E07000084",84.6,23,2005
"E07000240",80.1,23,2005
"E08000014",73.6,23,2005
"S12000029",76.2,23,2005
"E07000040",74.5,23,2005
"E07000197",78.1,23,2005
"E06000036",85.2,23,2005
"E09000025",64,23,2005
"E07000146",75.3,23,2005
"E09000024",76.2,23,2005
"E06000038",80.7,23,2005
"E07000041",78.3,23,2005
"E07000129",86.5,23,2005
"W06000002",73.7,23,2005
"W06000003",75.9,23,2005
"E06000058",77.4,23,2005
"E07000042",79.6,23,2005
"E07000208",82.7,23,2005
"E08000035",78.2,23,2005
"E07000088",80,23,2005
"W06000011",73.2,23,2005
"E07000227",83.7,23,2005
"E09000029",81.1,23,2005
"E07000178",75.1,23,2005
"E06000056",79.7,23,2005
"E09000008",78.6,23,2005
"E07000132",84,23,2005
"S12000021",74.5,23,2005
"E08000036",77.1,23,2005
"E07000011",84,23,2005
"E06000006",72.7,23,2005
"S12000050",74.6,23,2005
"E07000180",86.4,23,2005
"E07000140",78.4,23,2005
"E07000174",73.4,23,2005
"S12000035",80,23,2005
"S12000018",73.2,23,2005
"E09000013",76.3,23,2005
"E07000102",79.2,23,2005
"E07000112",74.4,23,2005
"S12000036",78.1,23,2005
"E06000026",74.1,23,2005
"E06000061",79.8,23,2005
"E07000137",74.2,23,2005
"E07000079",85.4,23,2005
"E07000218",77.9,23,2005
"E07000068",74.4,23,2005
"E08000027",75.6,23,2005
"E07000117",75.1,23,2005
"E07000081",80.5,23,2005
"S12000028",76.1,23,2005
"E07000237",82.4,23,2005
"W06000013",70.9,23,2005
"E06000054",82.2,23,2005
"E07000238",83.1,23,2005
"E12000009",78.3,23,2005
"E06000020",79.3,23,2005
"S12000010",80.1,23,2005
"E06000022",78.3,23,2005
"E07000127",76.9,23,2005
"E06000039",77.9,23,2005
"E07000077",83,23,2005
"E07000169",77.7,23,2005
"E07000073",86.9,23,2005
"E09000015",76.1,23,2005
"E07000103",82.9,23,2005
"E07000109",83.7,23,2005
"E07000242",82.6,23,2005
"E07000245",80.2,23,2005
"E07000170",74.7,23,2005
"E06000045",73.2,23,2005
"E08000003",67.1,23,2005
"W06000004",74.8,23,2005
"E09000032",77.1,23,2005
"S12000047",79.1,23,2005
"S12000042",74.4,23,2005
"W06000018",70,23,2005
"E07000090",80.5,23,2005
"E09000018",79.8,23,2005
"E08000023",72.2,23,2005
"W06000019",68.2,23,2005
"E07000091",78.5,23,2005
"E07000032",80.9,23,2005
"E06000041",82.7,23,2005
"S12000017",80.9,23,2005
"E06000015",72.7,23,2005
"E07000224",70.4,23,2005
"E08000032",72.5,23,2005
"E07000141",77.9,23,2005
"E06000033",76.7,23,2005
"E09000026",69.4,23,2005
"W06000023",75.9,23,2005
"E12000006",79.1,23,2005
"E07000234",86.8,23,2005
"E07000193",78.6,23,2005
"E07000148",75.9,23,2005
"K02000001",76.3,23,2005
"E07000074",83.6,23,2005
"E07000098",77.3,23,2005
"E07000082",83.3,23,2005
"E07000123",74,23,2005
"N92000002",70.6,23,2005
"E07000189",78.3,23,2005
"E07000037",78.8,23,2005
"E07000217",81.4,23,2005
"S12000049",68.8,23,2005
"E09000022",69.8,23,2005
"E07000211",77,23,2005
"S12000041",79.7,23,2005
"E08000033",74.1,23,2005
"E06000057",76.9,23,2005
"E06000047",71.9,23,2005
"E07000223",84.9,23,2005
"E07000085",79.8,23,2005
"S12000045",81.8,23,2005
"E07000114",78.7,23,2005
"E07000012",85.1,23,2005
"E07000212",78.6,23,2005
"E12000002",74.4,23,2005
"E08000007",80.7,23,2005
"S12000048",77.7,23,2005
"E07000062",73.5,23,2005
"E07000072",81.3,23,2005
"E12000008",80.5,23,2005
"E07000096",84.2,23,2005
"E08000015",74.1,23,2005
"E07000130",81.9,23,2005
"E09000014",72,23,2005
"E07000122",73.4,23,2005
"E09000030",63.1,23,2005
"E07000199",78.3,23,2005
"E07000108",75.1,23,2005
"E06000040",82.8,23,2005
