"areacd","value","id","xDomainNumb"
"W06000008",2.87,6,2012
"E10000007",3.11,6,2012
"E07000090",2.86,6,2012
"E08000035",3.11,6,2012
"E12000004",2.95,6,2012
"S12000010",2.96,6,2012
"E08000025",3.11,6,2012
"E10000029",2.88,6,2012
"E09000024",3.59,6,2012
"E07000132",2.79,6,2012
"E08000019",3.22,6,2012
"E12000007",3.27,6,2012
"W06000021",2.9,6,2012
"E06000045",3.21,6,2012
"E06000046",2.78,6,2012
"E07000229",3.48,6,2012
"E07000179",3.31,6,2012
"E07000121",2.73,6,2012
"E08000008",3.11,6,2012
"E07000166",2.75,6,2012
"W06000006",3.03,6,2012
"S12000019",2.9,6,2012
"N09000008",2.8,6,2012
"S12000042",3.15,6,2012
"E09000012",3.66,6,2012
"S12000041",2.54,6,2012
"E07000081",2.81,6,2012
"E10000018",3.12,6,2012
"S12000035",2.73,6,2012
"E09000007",3.24,6,2012
"E07000240",3.11,6,2012
"E07000012",3.17,6,2012
"E10000006",3.15,6,2012
"E06000021",2.93,6,2012
"E07000213",3.13,6,2012
"E08000034",3.1,6,2012
"E09000003",2.74,6,2012
"E10000034",2.76,6,2012
"S12000013",2.64,6,2012
"E07000094",2.97,6,2012
"W06000004",3.08,6,2012
"S12000047",2.9,6,2012
"E07000194",2.94,6,2012
"E07000141",2.56,6,2012
"E06000055",3.14,6,2012
"W06000002",2.8,6,2012
"E07000169",2.31,6,2012
"N09000005",3.56,6,2012
"E07000146",3.06,6,2012
"E07000195",3.02,6,2012
"E07000234",2.72,6,2012
"E09000027",3.49,6,2012
"E09000032",3.54,6,2012
"E08000016",3.09,6,2012
"E07000164",2.62,6,2012
"E07000010",2.76,6,2012
"E07000092",2.83,6,2012
"E09000006",3.22,6,2012
"E08000029",2.9,6,2012
"E07000142",3.06,6,2012
"E07000103",2.89,6,2012
"S12000021",3.31,6,2012
"E07000167",2.67,6,2012
"E07000218",2.63,6,2012
"E07000123",2.53,6,2012
"E07000079",2.59,6,2012
"E07000168",2.91,6,2012
"S92000003",2.93,6,2012
"E07000198",3.03,6,2012
"E07000064",2.95,6,2012
"E08000013",3.11,6,2012
"S12000011",2.9,6,2012
"N09000009",1.96,6,2012
"E07000106",3.09,6,2012
"E07000071",3.02,6,2012
"S12000008",3.36,6,2012
"S12000034",2.78,6,2012
"E07000082",3.2,6,2012
"E07000235",2.59,6,2012
"E10000016",3.08,6,2012
"N09000004",2.77,6,2012
"E10000015",3.05,6,2012
"S12000039",3.12,6,2012
"E10000025",3.03,6,2012
"E10000027",3.18,6,2012
"E06000052",2.94,6,2012
"E07000220",2.3,6,2012
"E08000026",2.92,6,2012
"E07000236",2.85,6,2012
"E07000239",3.15,6,2012
"E10000011",3.04,6,2012
"E08000037",3.13,6,2012
"S12000027",2.36,6,2012
"S12000017",2.76,6,2012
"E06000027",2.97,6,2012
"E08000015",3.24,6,2012
"E07000170",2.51,6,2012
"E07000241",3.25,6,2012
"E06000058",2.91,6,2012
"E07000061",3.33,6,2012
"E07000192",2.96,6,2012
"S12000048",2.7,6,2012
"E10000019",2.73,6,2012
"E07000114",3.14,6,2012
"E07000084",2.72,6,2012
"S12000049",2.99,6,2012
"E07000210",2.73,6,2012
"S12000036",3.29,6,2012
"E06000040",3.04,6,2012
"E08000011",3.34,6,2012
"W06000018",3.4,6,2012
"S12000018",3.13,6,2012
"E07000196",2.81,6,2012
"W06000023",3.01,6,2012
"E07000087",2.55,6,2012
"E06000006",3.27,6,2012
"E07000197",2.53,6,2012
"E08000014",2.96,6,2012
"E12000006",2.97,6,2012
"W06000024",3.38,6,2012
"E07000199",2.34,6,2012
"E09000018",3.39,6,2012
"E10000013",2.91,6,2012
"W06000011",2.92,6,2012
"E08000030",2.78,6,2012
"E09000004",3.24,6,2012
"E10000031",2.65,6,2012
"N92000002",3,6,2012
"E07000217",3.22,6,2012
"E07000066",3.1,6,2012
"E07000035",3.21,6,2012
"E07000143",2.73,6,2012
"E06000005",2.84,6,2012
"E07000068",3.35,6,2012
"E07000126",3.01,6,2012
"N09000003",3.92,6,2012
"E07000221",2.41,6,2012
"E07000069",3.37,6,2012
"E09000031",2.96,6,2012
"E07000039",3.66,6,2012
"E07000175",3.11,6,2012
"E06000036",3.09,6,2012
"E08000032",3.07,6,2012
"E07000072",2.8,6,2012
"S12000005",2.54,6,2012
"E07000045",2.85,6,2012
"E07000140",2.1,6,2012
"E07000107",2.93,6,2012
"W06000019",3.02,6,2012
"S12000006",2.31,6,2012
"E07000188",3.46,6,2012
"W06000009",2.7,6,2012
"E07000246",3.05,6,2012
"E08000021",2.98,6,2012
"E06000019",3.05,6,2012
"E07000189",2.91,6,2012
"N09000010",2.8,6,2012
"E07000062",3.19,6,2012
"W06000022",3,6,2012
"E07000110",3.21,6,2012
"S12000040",3.15,6,2012
"E09000020",3,6,2012
"E09000013",3.09,6,2012
"E07000134",2.66,6,2012
"E07000124",3.05,6,2012
"E07000135",3.22,6,2012
"E06000038",3.41,6,2012
