"areacd","value","id","xDomainNumb"
"W06000010",62.46,26,4012
"W06000015",59.88,26,4012
"W06000020",61.05,26,4012
"E10000007",62.9,26,4012
"E08000013",60.22,26,4012
"E09000015",68.5,26,4012
"W06000021",66.07,26,4012
"E09000008",63.37,26,4012
"E06000022",66.39,26,4012
"E10000017",61.18,26,4012
"E12000009",64.99,26,4012
"E08000014",59.93,26,4012
"E06000051",64.66,26,4012
"E08000004",60.66,26,4012
"E08000033",62.44,26,4012
"E92000001",63.37,26,4012
"W06000014",64.37,26,4012
"E06000037",69.71,26,4012
"E10000014",67.26,26,4012
"E09000022",59.31,26,4012
"E06000062",62.85,26,4012
"E09000006",67.69,26,4012
"E09000026",61.59,26,4012
"E09000033",66.68,26,4012
"E06000059",69.38,26,4012
"E08000008",58.36,26,4012
"E08000031",57.2,26,4012
"E06000046",64.06,26,4012
"E09000023",63.1,26,4012
"E08000035",60.3,26,4012
"E12000006",65,26,4012
"E06000011",65,26,4012
"E06000010",56.51,26,4012
"E10000028",63.68,26,4012
"E10000031",67.61,26,4012
"E06000057",62.32,26,4012
"E06000054",67.32,26,4012
"W06000005",65.49,26,4012
"E08000012",57.73,26,4012
"E06000034",65.66,26,4012
"W06000011",62.34,26,4012
"W06000016",58.1,26,4012
"E06000027",63.24,26,4012
"E06000050",63.27,26,4012
"W06000022",59.9,26,4012
"E09000014",64.12,26,4012
"E09000012",58.15,26,4012
"E12000004",62.66,26,4012
"W06000013",60.84,26,4012
"E12000003",61.28,26,4012
"E10000024",62.36,26,4012
"E08000032",61.75,26,4012
"E06000035",62.08,26,4012
"E06000002",57.87,26,4012
"E10000029",65.64,26,4012
"E08000029",63.4,26,4012
"E06000007",62.71,26,4012
"E10000006",62.65,26,4012
"E08000022",60,26,4012
"E09000013",61.83,26,4012
"E10000018",64.73,26,4012
"E09000017",65.3,26,4012
"E06000041",70.42,26,4012
"S92000003",61.72,26,4012
"E10000034",66.64,26,4012
"E06000025",67.45,26,4012
"E09000029",65.47,26,4012
"E06000014",65.04,26,4012
"E08000027",62.44,26,4012
"E10000011",62.49,26,4012
"E10000027",66.27,26,4012
"E08000009",65.05,26,4012
"E08000037",58.24,26,4012
"E09000021",66.54,26,4012
"E09000024",62.91,26,4012
"E06000015",60.9,26,4012
"E06000045",61.25,26,4012
"E06000036",68.41,26,4012
"E08000034",62.04,26,4012
"E06000016",58.78,26,4012
"E10000016",63.59,26,4012
"E09000002",59.13,26,4012
"E10000025",68.7,26,4012
"E06000023",62.43,26,4012
"E08000023",58.61,26,4012
"E09000019",60.45,26,4012
"E06000047",59.38,26,4012
"E06000026",59.23,26,4012
"E09000004",64.87,26,4012
"E10000032",66.33,26,4012
"E06000052",63.33,26,4012
"E06000031",61.13,26,4012
"W06000008",66.53,26,4012
"E09000005",64.05,26,4012
"E10000020",64.7,26,4012
"W06000004",60.65,26,4012
"E08000016",57.64,26,4012
"E06000008",58,26,4012
"E12000008",65.87,26,4012
"E06000019",67.03,26,4012
"E08000021",58.71,26,4012
"E09000028",58.54,26,4012
"W06000001",62.84,26,4012
"E08000005",59.81,26,4012
"E06000058",64.29,26,4012
"E08000018",58.73,26,4012
"E06000044",62.12,26,4012
"E08000001",61.62,26,4012
"E08000019",60.66,26,4012
"E09000031",61.1,26,4012
"W06000018",58.55,26,4012
"E09000030",53.95,26,4012
"E08000007",65.86,26,4012
"E09000011",60.54,26,4012
"E06000020",59.74,26,4012
"E06000033",61.78,26,4012
"E10000013",63.5,26,4012
"E12000005",62.36,26,4012
"E12000002",61,26,4012
"E06000013",60.08,26,4012
"E10000008",65.29,26,4012
"E06000061",63.76,26,4012
"E08000010",59.44,26,4012
"E06000042",62.89,26,4012
"E12000007",63.81,26,4012
