"areacd","value","id","xDomainNumb"
"E06000047",7.06,8,2012
"E09000011",7.05,8,2012
"E07000118",7.62,8,2012
"E12000004",7.37,8,2012
"E07000134",7.71,8,2012
"E07000043",7.58,8,2012
"E07000225",7.48,8,2012
"E06000024",7.36,8,2012
"E07000094",7.67,8,2012
"E08000026",7.27,8,2012
"E07000237",7.48,8,2012
"E07000099",7.53,8,2012
"E07000146",7.54,8,2012
"E07000083",7.41,8,2012
"E07000046",7.63,8,2012
"E07000009",7.61,8,2012
"E09000032",7.28,8,2012
"E10000012",7.25,8,2012
"E07000117",7.33,8,2012
"E07000167",7.5,8,2012
"E08000008",7.15,8,2012
"S12000010",7.36,8,2012
"E07000217",7.32,8,2012
"E07000035",7.02,8,2012
"E07000128",7.35,8,2012
"E06000011",7.35,8,2012
"E07000114",7.49,8,2012
"E06000039",7.16,8,2012
"E07000241",7.33,8,2012
"E07000214",7.41,8,2012
"E10000011",7.27,8,2012
"E07000178",7.11,8,2012
"E07000111",7.38,8,2012
"E07000037",7.24,8,2012
"E08000028",7.31,8,2012
"E08000005",7.17,8,2012
"E07000187",7.39,8,2012
"E06000037",7.46,8,2012
"E07000166",7.54,8,2012
"E08000002",7.23,8,2012
"E07000087",7.44,8,2012
"E07000133",7.66,8,2012
"E07000239",7.4,8,2012
"E07000034",7.26,8,2012
"W06000008",7.35,8,2012
"N09000004",7.63,8,2012
"E07000011",7.1,8,2012
"E10000013",7.29,8,2012
"E07000132",7.39,8,2012
"E07000147",7.54,8,2012
"E07000076",7.37,8,2012
"E08000030",7.43,8,2012
"E08000014",7.23,8,2012
"S12000042",7.17,8,2012
"E08000001",7.15,8,2012
"E10000006",7.3,8,2012
"E92000001",7.29,8,2012
"E07000090",7.44,8,2012
"E06000033",7.29,8,2012
"E08000016",7.21,8,2012
"W06000003",7.49,8,2012
"E10000024",7.33,8,2012
"E08000007",7.45,8,2012
"E07000084",7.36,8,2012
"E10000017",7.34,8,2012
"E07000031",7.37,8,2012
"E07000105",7.19,8,2012
"E07000137",7.37,8,2012
"E07000070",7.48,8,2012
"E07000116",7.32,8,2012
"W06000020",7.22,8,2012
"E06000003",7.25,8,2012
"E06000036",7.27,8,2012
"E07000068",6.72,8,2012
"N09000005",7.12,8,2012
"E07000144",7.54,8,2012
"E07000010",7.12,8,2012
"E12000007",7.21,8,2012
"E07000088",7.34,8,2012
"E07000165",7.39,8,2012
"E07000032",7.67,8,2012
"E08000010",7.35,8,2012
"E06000022",7.54,8,2012
"E07000181",7.11,8,2012
"E07000091",7.58,8,2012
"E07000244",7.3,8,2012
"E07000216",7.77,8,2012
"E07000064",7.48,8,2012
"E06000058",7.24,8,2012
"E08000018",7.35,8,2012
"E06000049",7.55,8,2012
"E07000089",8.02,8,2012
"E10000029",7.37,8,2012
"S12000048",7.57,8,2012
"E09000025",7.32,8,2012
"E07000082",7.18,8,2012
"E06000002",7.27,8,2012
"E07000242",7.71,8,2012
"E10000016",7.32,8,2012
"E07000085",7.3,8,2012
"E08000021",7.2,8,2012
"E06000050",7.47,8,2012
"E06000017",7.51,8,2012
"E07000163",7.4,8,2012
"E08000032",7.28,8,2012
"E09000012",7.06,8,2012
"E07000240",7.27,8,2012
"E10000007",7.37,8,2012
"S12000006",7.67,8,2012
"S12000030",7.45,8,2012
"E08000034",7.09,8,2012
"E07000174",7.22,8,2012
"S12000020",7.12,8,2012
"E07000102",7.43,8,2012
"E06000035",7.15,8,2012
"E07000062",7.18,8,2012
"E07000063",7.46,8,2012
"N92000002",7.6,8,2012
"W06000012",7.3,8,2012
"S12000050",7.04,8,2012
"E10000030",7.43,8,2012
"E09000003",7.23,8,2012
"E06000010",7.12,8,2012
"E07000036",7.5,8,2012
"E09000023",7.12,8,2012
"E07000126",7.34,8,2012
"E10000014",7.51,8,2012
"E06000012",7.14,8,2012
"E06000034",7.31,8,2012
"E07000115",7.35,8,2012
"E06000013",7.46,8,2012
"E07000209",7.15,8,2012
"E09000031",7.26,8,2012
"W06000005",7.52,8,2012
"E06000018",7.26,8,2012
"E07000093",7.56,8,2012
"E07000210",7.34,8,2012
"S12000026",7.52,8,2012
"E06000040",7.39,8,2012
"E07000106",7.14,8,2012
"E09000030",7.38,8,2012
"E09000016",7.18,8,2012
"N09000006",7.9,8,2012
"W06000023",7.38,8,2012
"E07000139",7.8,8,2012
"S12000019",7.36,8,2012
"E12000006",7.35,8,2012
"E07000047",7.14,8,2012
"E09000018",7.27,8,2012
"E07000180",7.5,8,2012
"E07000033",7.25,8,2012
"E07000109",7.07,8,2012
"S12000021",7.11,8,2012
"E09000024",7.14,8,2012
"E07000218",7.29,8,2012
"E07000079",7.54,8,2012
"E07000066",7.07,8,2012
"E08000024",7.07,8,2012
"S92000003",7.33,8,2012
"E07000112",7.28,8,2012
"E10000032",7.39,8,2012
"E07000065",7.14,8,2012
"N09000002",7.78,8,2012
"W06000015",7.13,8,2012
"E07000221",7.48,8,2012
"E07000224",7.47,8,2012
"E07000145",7.31,8,2012
"E08000017",7.34,8,2012
"S12000035",7.56,8,2012
"E07000194",7.51,8,2012
"E10000018",7.42,8,2012
"S12000017",7.66,8,2012
"E07000226",7.15,8,2012
"E07000072",7.36,8,2012
"E07000045",7.23,8,2012
"E07000228",7.47,8,2012
"E07000164",7.57,8,2012
"N09000007",8.15,8,2012
"E07000074",7.78,8,2012
"K02000001",7.3,8,2012
"W06000021",7.55,8,2012
"E08000006",7.04,8,2012
"E07000199",7.38,8,2012
"E07000078",7.3,8,2012
"N09000010",7.69,8,2012
"E07000110",7.38,8,2012
"E12000001",7.19,8,2012
"W06000022",7.14,8,2012
"E07000219",7.26,8,2012
"E08000009",7.35,8,2012
"E07000113",7.46,8,2012
"E07000234",7.33,8,2012
"N09000003",7.24,8,2012
"E07000236",7.56,8,2012
"E08000011",6.99,8,2012
"E10000027",7.3,8,2012
"E07000175",7.33,8,2012
"E10000025",7.24,8,2012
"E07000212",7.16,8,2012
"E08000003",7.08,8,2012
"E06000043",7.13,8,2012
"E06000041",7.53,8,2012
"E09000033",7,8,2012
"E08000004",7.13,8,2012
"E07000243",7.07,8,2012
"E06000046",7.42,8,2012
"E07000179",7.06,8,2012
"E06000019",7.39,8,2012
"E06000027",7.28,8,2012
"E07000215",7.22,8,2012
"E07000026",7.59,8,2012
"W06000010",7.36,8,2012
"E07000142",7.28,8,2012
"N09000009",7.67,8,2012
"E09000020",7.56,8,2012
"W06000011",7.22,8,2012
"N09000001",7.71,8,2012
"E06000005",7.24,8,2012
"E10000019",7.48,8,2012
"S12000034",7.38,8,2012
"E07000172",7.47,8,2012
"W06000014",7.32,8,2012
"E07000038",7.49,8,2012
"E07000193",7.06,8,2012
"E06000014",7.36,8,2012
"S12000049",7.08,8,2012
"W06000024",7.21,8,2012
"E07000008",7.38,8,2012
"E07000086",7.52,8,2012
"E06000006",7.09,8,2012
"E07000197",7.39,8,2012
"E07000140",7.5,8,2012
"E07000130",7.31,8,2012
"E07000229",7.13,8,2012
"E07000012",7.1,8,2012
"S12000013",7.99,8,2012
"E07000122",7.17,8,2012
"E12000009",7.36,8,2012
"E06000056",7.48,8,2012
"E09000021",7.1,8,2012
"E06000042",7.11,8,2012
"E07000077",7.71,8,2012
"E12000003",7.28,8,2012
"E07000143",7.42,8,2012
"E07000169",7.27,8,2012
"E07000080",7.33,8,2012
"S12000033",7.44,8,2012
"E07000081",7.11,8,2012
"E07000095",7.73,8,2012
"E06000001",7.15,8,2012
"E07000136",7.32,8,2012
"S12000041",7.38,8,2012
"S12000027",7.83,8,2012
"E07000138",7.11,8,2012
"S12000036",7.48,8,2012
"E07000044",7.12,8,2012
"S12000039",7.14,8,2012
"E07000196",7.37,8,2012
"E07000129",7.36,8,2012
"E07000073",6.55,8,2012
"E08000037",7.22,8,2012
"E07000188",7.04,8,2012
"N09000008",7.67,8,2012
"E07000171",7.44,8,2012
"S12000008",7.11,8,2012
"S12000040",7.48,8,2012
"E08000023",6.94,8,2012
"E07000027",7.2,8,2012
"E06000032",7.31,8,2012
"E06000021",7.02,8,2012
"N09000011",7.55,8,2012
"E07000222",7.38,8,2012
"E07000067",7.41,8,2012
"E07000135",7.33,8,2012
"E12000002",7.23,8,2012
"E12000008",7.35,8,2012
"E09000027",7.35,8,2012
"E07000041",7.19,8,2012
"S12000047",7.17,8,2012
"E06000059",7.45,8,2012
"E07000173",7.54,8,2012
"E09000010",7.42,8,2012
"E06000045",7.22,8,2012
"E09000017",7.34,8,2012
"E07000131",7.36,8,2012
"E07000195",7.13,8,2012
"E08000025",7.04,8,2012
"E10000034",7.41,8,2012
"E07000220",7.48,8,2012
"S12000005",7.52,8,2012
"E07000108",7.08,8,2012
"E12000005",7.26,8,2012
"E07000141",7.81,8,2012
"E06000051",7.36,8,2012
"E09000019",6.91,8,2012
"E08000015",7.17,8,2012
"E08000022",7.29,8,2012
"E08000036",7.2,8,2012
"E07000207",7.63,8,2012
"S12000023",7.99,8,2012
"W06000013",7.28,8,2012
"E07000029",7.16,8,2012
"E09000008",7.08,8,2012
"E07000192",7.18,8,2012
"W06000019",7.21,8,2012
"E06000060",7.4,8,2012
"W06000016",7.27,8,2012
"E07000039",7.31,8,2012
"E07000211",7.55,8,2012
"E08000012",6.85,8,2012
"E07000213",7.57,8,2012
"E07000148",7.32,8,2012
"E08000027",7.24,8,2012
"E07000149",7.6,8,2012
"E09000005",7.19,8,2012
"E07000202",7.54,8,2012
"E10000028",7.32,8,2012
"E08000013",7.01,8,2012
"E06000030",7.36,8,2012
"E09000002",7.05,8,2012
"E06000023",7.2,8,2012
"E06000055",7,8,2012
"E09000014",7.09,8,2012
"E08000035",7.34,8,2012
"S12000045",7.39,8,2012
"E06000054",7.48,8,2012
"W06000004",7.34,8,2012
"E08000033",7.4,8,2012
"E10000003",7.23,8,2012
"E06000052",7.46,8,2012
"E07000208",7.48,8,2012
"E09000029",7.2,8,2012
"E07000223",7.27,8,2012
"E07000120",6.85,8,2012
"E07000127",7.27,8,2012
"E06000044",7.09,8,2012
"E10000015",7.46,8,2012
"E07000198",7.58,8,2012
"W06000006",7.33,8,2012
"S12000011",7.37,8,2012
"W06000018",7.03,8,2012
"E09000015",7.39,8,2012
"S12000028",7.26,8,2012
"E07000107",7.72,8,2012
"E07000119",7.57,8,2012
"E06000004",7.25,8,2012
"S12000029",7.4,8,2012
"E09000028",7.15,8,2012
"E09000013",6.96,8,2012
"W06000009",7.49,8,2012
"E07000075",7.05,8,2012
"E07000121",7.44,8,2012
"E07000030",7.06,8,2012
"E10000031",7.38,8,2012
"E07000200",7.56,8,2012
"W92000004",7.31,8,2012
"E07000123",7.53,8,2012
"E09000006",7.38,8,2012
"E08000031",6.91,8,2012
"E06000025",7.37,8,2012
"E07000168",7.23,8,2012
"E10000020",7.47,8,2012
"E06000026",7.3,8,2012
"W06000002",7.62,8,2012
"E07000071",7.25,8,2012
"E08000029",7.38,8,2012
"E07000235",7.38,8,2012
"E06000016",7.33,8,2012
