"areacd","value","id","xDomainNumb"
"E10000011",331,30,1003
"E12000004",319.7,30,1003
"E10000017",315.8,30,1003
"E12000005",317.9,30,1003
"E10000014",359,30,1003
"N92000002",290,30,1003
"E10000023",307.1,30,1003
"K03000001",337.3,30,1003
"E10000018",334.7,30,1003
"E10000013",328.7,30,1003
"E10000012",375,30,1003
"E10000032",354.8,30,1003
"E10000028",322.8,30,1003
"K02000001",334.7,30,1003
"E12000008",375.4,30,1003
"E10000020",303.2,30,1003
"E10000024",326.2,30,1003
"E12000007",435.9,30,1003
"E10000027",304.8,30,1003
"E10000008",279.5,30,1003
"E92000001",342.6,30,1003
"E10000019",306.6,30,1003
"E10000006",309,30,1003
"E10000034",317.5,30,1003
"E10000003",370,30,1003
"E10000030",441.5,30,1003
"S92000003",316.5,30,1003
"E12000001",293.3,30,1003
"E12000002",316.7,30,1003
"E12000009",311.2,30,1003
"E10000015",410.5,30,1003
"E10000031",363.2,30,1003
"E10000025",389,30,1003
"E10000029",305.8,30,1003
"E12000006",355.1,30,1003
"K04000001",340,30,1003
"E12000003",311,30,1003
"E10000016",361.2,30,1003
"E10000007",309.1,30,1003
"W92000004",300.3,30,1003
"E10000031",376.3,30,1004
"E10000020",313.1,30,1004
"N92000002",305.4,30,1004
"E10000014",381.6,30,1004
"E10000028",344.6,30,1004
"E10000034",332.7,30,1004
"E10000007",319.9,30,1004
"S92000003",323.7,30,1004
"E10000024",326,30,1004
"E10000029",320.5,30,1004
"E12000006",365.2,30,1004
"E12000003",321.4,30,1004
"K02000001",345.5,30,1004
"E10000017",321.4,30,1004
"E10000025",397.3,30,1004
"E10000013",336.4,30,1004
"K03000001",347.7,30,1004
"E10000023",319.5,30,1004
"E10000019",316.8,30,1004
"E12000004",328.1,30,1004
"W92000004",317,30,1004
"E10000015",421.6,30,1004
"E12000002",328.5,30,1004
"E12000007",448.7,30,1004
"E10000008",289,30,1004
"E10000011",332.8,30,1004
"E10000003",385.3,30,1004
"E12000008",387.4,30,1004
"E10000018",353.5,30,1004
"E12000005",327,30,1004
"E10000016",373.1,30,1004
"E10000030",443.3,30,1004
"E10000006",320.1,30,1004
"E12000001",303.2,30,1004
"K04000001",350.8,30,1004
"E10000027",314.4,30,1004
"E12000009",321.1,30,1004
"E10000032",374.8,30,1004
"E10000012",383,30,1004
"E92000001",353.2,30,1004
"E12000001",312.3,30,1005
"E92000001",356.7,30,1005
"E10000011",330.9,30,1005
"E10000031",379.8,30,1005
"E10000025",396.7,30,1005
"K02000001",349.1,30,1005
"N92000002",318.7,30,1005
"E12000005",334.8,30,1005
"E10000024",337.8,30,1005
"W92000004",320.6,30,1005
"E10000008",294.6,30,1005
"E10000015",432.5,30,1005
"E12000008",383.3,30,1005
"E10000006",321.5,30,1005
"E10000023",317.8,30,1005
"E10000029",321.1,30,1005
"E12000002",334.5,30,1005
"E10000017",335.4,30,1005
"E10000012",396.4,30,1005
"S92000003",333.4,30,1005
"E10000028",339.7,30,1005
"K04000001",354.6,30,1005
"E10000018",350.3,30,1005
"E12000003",324.8,30,1005
"E10000020",311,30,1005
"E10000014",376.2,30,1005
"E10000027",316.7,30,1005
"E12000004",336.6,30,1005
