"areacd","value","id","xDomainNumb"
"S12000049",21.68,31,1005
"E07000237",21.96,31,1005
"E07000195",20.22,31,1005
"W06000019",19.54,31,1005
"E07000181",26.04,31,1005
"E07000027",21.22,31,1005
"E09000005",28,31,1005
"E06000027",19.18,31,1005
"E06000050",26.07,31,1005
"E06000006",32.27,31,1005
"E07000038",20.75,31,1005
"E07000244",23.49,31,1005
"E07000098",31.12,31,1005
"E06000025",30.84,31,1005
"E07000170",26.76,31,1005
"E06000024",23.43,31,1005
"E07000220",26.09,31,1005
"E07000045",19.84,31,1005
"E06000005",26.54,31,1005
"E07000044",23.85,31,1005
"E07000202",25.53,31,1005
"E06000012",20.35,31,1005
"S12000045",22.12,31,1005
"S12000040",24.57,31,1005
"E07000229",29.83,31,1005
"E07000076",20.49,31,1005
"E09000018",40.79,31,1005
"E07000078",22.21,31,1005
"E07000077",23.59,31,1005
"S12000027",23.67,31,1005
"E92000001",25.96,31,1005
"E07000177",25.44,31,1005
"E08000014",18.71,31,1005
"E07000085",23.75,31,1005
"W06000023",16.9,31,1005
"E07000218",32.11,31,1005
"E08000025",21.86,31,1005
"S12000050",23.65,31,1005
"E09000001",55.94,31,1005
"E06000045",23.45,31,1005
"E07000239",16.53,31,1005
"E06000044",23.14,31,1005
"W06000021",21.76,31,1005
"E07000178",22.35,31,1005
"E07000105",22.62,31,1005
"E07000143",20.32,31,1005
"S12000048",25.78,31,1005
"E07000243",27.96,31,1005
"E07000164",24.97,31,1005
"W06000011",21.05,31,1005
"W06000015",22.61,31,1005
"S12000008",21.63,31,1005
"E09000030",54.51,31,1005
"W06000006",24.13,31,1005
"E07000031",21.25,31,1005
"E08000024",24.85,31,1005
"E07000165",23.95,31,1005
"E07000108",28.36,31,1005
"E07000011",23.69,31,1005
"E07000144",21.83,31,1005
"E06000015",27.64,31,1005
"S92000003",23.74,31,1005
"E07000063",20.74,31,1005
"E07000166",29.18,31,1005
"S12000014",27.52,31,1005
"N09000007",22.64,31,1005
"E09000006",32.28,31,1005
"E07000115",28.93,31,1005
"E07000188",20.32,31,1005
"E12000006",25.08,31,1005
"E07000042",18.39,31,1005
"E07000110",20.95,31,1005
"E06000053",28,31,1005
"E07000208",27.23,31,1005
"E07000047",17.19,31,1005
"E07000008",24.62,31,1005
"E07000200",21.92,31,1005
"N09000004",21.82,31,1005
"E07000041",24.45,31,1005
"E09000012",24.2,31,1005
"E07000113",25.95,31,1005
"W06000012",20.58,31,1005
"E07000074",20.81,31,1005
"E09000031",25.91,31,1005
"E07000114",19.32,31,1005
"E07000169",31.73,31,1005
"E08000007",22.88,31,1005
"S12000039",23.53,31,1005
"E06000035",23.33,31,1005
"S12000019",20.6,31,1005
"E07000141",21.69,31,1005
"E07000080",29.2,31,1005
"E07000179",27.46,31,1005
"E06000041",37.06,31,1005
"E12000008",27.78,31,1005
"S12000023",26.08,31,1005
"E09000025",28.48,31,1005
"E07000198",20.58,31,1005
"E07000221",25.88,31,1005
"E07000116",26.4,31,1005
"E07000147",19.39,31,1005
"E07000081",21.85,31,1005
"E07000245",25.58,31,1005
"E07000129",29.13,31,1005
"E06000033",19.05,31,1005
"W06000009",23.25,31,1005
"E07000087",24.24,31,1005
"E07000137",19.21,31,1005
"E07000203",23.39,31,1005
"S12000036",28.14,31,1005
"E07000099",24.97,31,1005
"S12000030",26.18,31,1005
"E12000004",22.09,31,1005
"E07000067",22.23,31,1005
"S12000026",21.28,31,1005
"E06000018",20.23,31,1005
"W06000010",19.05,31,1005
"E07000197",21.06,31,1005
"S12000029",21.95,31,1005
"S12000034",26.39,31,1005
"E07000173",20.68,31,1005
"S12000017",22.86,31,1005
"N09000011",22.03,31,1005
