"areacd","value","id","xDomainNumb"
"E12000002",80451,33,1016
"E12000001",17231,33,1016
"E12000003",37220,33,1016
"S92000003",86957,33,1016
"E12000006",86969,33,1016
"N92000002",17333,33,1016
"K02000001",1187303,33,1016
"E12000009",61899,33,1016
"E12000004",36572,33,1016
"W92000004",45835,33,1016
"E12000007",453476,33,1016
"E12000008",121158,33,1016
"E12000005",63033,33,1016
"E12000002",90384,33,1017
"E12000006",63442,33,1017
"N92000002",19395,33,1017
"E12000001",23311,33,1017
"S92000003",88494,33,1017
"E12000004",42273,33,1017
"K02000001",1392497,33,1017
"E12000008",186446,33,1017
"E12000003",36906,33,1017
"E12000005",55278,33,1017
"W92000004",17986,33,1017
"E12000007",565190,33,1017
"E12000009",60046,33,1017
"K02000001",1572819,33,1018
"E12000002",80222,33,1018
"E12000001",24261,33,1018
"N92000002",10860,33,1018
"E12000006",80330,33,1018
"E12000004",52283,33,1018
"E12000005",57337,33,1018
"E12000003",53814,33,1018
"E12000008",187532,33,1018
"S92000003",80510,33,1018
"E12000007",671721,33,1018
"W92000004",22737,33,1018
"E12000009",65377,33,1018
"K02000001",1640641,33,1019
"N92000002",10448,33,1019
"E12000001",23162,33,1019
"E12000002",77556,33,1019
"E12000004",58474,33,1019
"E12000008",218126,33,1019
"E12000007",683412,33,1019
"S92000003",96863,33,1019
"E12000005",60836,33,1019
"E12000003",53253,33,1019
"W92000004",20410,33,1019
"E12000006",90480,33,1019
"E12000009",70768,33,1019
"K02000001",1919232,33,1020
"E12000009",74555,33,1020
"E12000001",30640,33,1020
"E12000002",94029,33,1020
"E12000004",55379,33,1020
"N92000002",14262,33,1020
"S92000003",75165,33,1020
"E12000003",64870,33,1020
"E12000008",289387,33,1020
"E12000007",924571,33,1020
"E12000006",86487,33,1020
"E12000005",88319,33,1020
"W92000004",34033,33,1020
