"areacd","value","id","xDomainNumb"
"E08000014",11624,29,998
"E07000243",9348,29,998
"E08000035",10295,29,998
"S12000011",14709,29,998
"E06000004",9554,29,998
"E09000026",11580,29,998
"E06000053",13725,29,998
"E09000021",14670,29,998
"W06000020",8761,29,998
"N09000010",8512,29,998
"K03000001",11065,29,998
"E07000196",11765,29,998
"E09000001",100333,29,998
"E07000216",17710,29,998
"E07000239",9692,29,998
"E07000240",16665,29,998
"E07000202",8711,29,998
"E09000033",21757,29,998
"E07000108",8971,29,998
"E07000175",11271,29,998
"E06000043",12075,29,998
"E06000026",9444,29,998
"E06000038",11856,29,998
"S12000018",8742,29,998
"W06000021",11543,29,998
"E06000020",10241,29,998
"E07000228",15932,29,998
"S12000039",7404,29,998
"E07000234",14594,29,998
"E07000090",10676,29,998
"E06000008",8453,29,998
"E06000017",14537,29,998
"S12000034",12065,29,998
"E07000137",9554,29,998
"E07000088",8718,29,998
"E07000210",18291,29,998
"E08000024",8461,29,998
"E06000002",8508,29,998
"E06000022",12887,29,998
"E12000004",10027,29,998
"E07000144",12038,29,998
"E07000095",11628,29,998
"E07000169",11366,29,998
"E12000003",9899,29,998
"E07000220",11603,29,998
"E08000037",8770,29,998
"E07000034",8169,29,998
"E06000062",10950,29,998
"E12000009",11323,29,998
"E08000015",10500,29,998
"E07000010",9425,29,998
"E07000033",8422,29,998
"E07000028",9182,29,998
"E06000056",12108,29,998
"E07000128",10061,29,998
"E12000002",9918,29,998
"S12000014",9093,29,998
"E06000042",11266,29,998
"E07000110",12567,29,998
"E07000096",12967,29,998
"E06000030",11519,29,998
"E07000181",15174,29,998
"E09000022",11344,29,998
"E09000011",13786,29,998
"E07000043",10584,29,998
"E07000073",8639,29,998
"E07000078",11556,29,998
"E07000134",10976,29,998
"E07000132",10591,29,998
"W06000008",8558,29,998
"N09000009",7746,29,998
"E09000032",15350,29,998
"E09000012",7980,29,998
"E12000006",11535,29,998
"W06000006",9804,29,998
"E09000013",21234,29,998
"E07000172",9689,29,998
"E08000029",12434,29,998
"E07000139",11373,29,998
"E06000041",15275,29,998
"E09000015",13473,29,998
"W06000015",9937,29,998
"S12000010",11593,29,998
"W06000012",9590,29,998
"E07000037",9613,29,998
"E07000214",15763,29,998
"E07000226",11047,29,998
"N09000005",6998,29,998
"E07000012",14820,29,998
"E07000187",12236,29,998
"E08000016",8886,29,998
"E07000167",11886,29,998
"E06000003",8771,29,998
"E07000123",9169,29,998
"E07000222",13401,29,998
"E06000009",9668,29,998
"S12000049",9137,29,998
"E06000015",9372,29,998
"E07000241",12659,29,998
"E06000051",11263,29,998
"E07000080",9556,29,998
"S12000036",12277,29,998
"E07000125",10266,29,998
"E07000213",13232,29,998
"S12000030",11801,29,998
"E06000055",11391,29,998
"E08000012",8458,29,998
"E09000029",12406,29,998
"E07000225",15072,29,998
"E07000115",14148,29,998
"E08000028",8397,29,998
"E07000212",13884,29,998
