"areacd","value","id","xDomainNumb"
"E07000010",55.94542,15,1014
"E07000077",59.42857,15,1014
"E07000030",51.28205,15,1014
"E06000032",52.03252,15,1014
"E07000119",55.73333,15,1014
"E06000003",51.73502,15,1014
"E07000094",59.59596,15,1014
"E10000024",56.07908,15,1014
"E06000012",53.3758,15,1014
"E07000170",51.13636,15,1014
"E07000080",56.06469,15,1014
"E08000037",50.53533,15,1014
"E07000218",52.9661,15,1014
"E07000074",52.43056,15,1014
"E12000003",53.2369,15,1014
"E07000120",42.60563,15,1014
"E07000027",50,15,1014
"E06000010",52.27934,15,1014
"E07000009",64.51613,15,1014
"E07000224",53.42312,15,1014
"E06000007",53.6965,15,1014
"E07000088",60.8076,15,1014
"E06000031",61.44201,15,1014
"E07000166",60.56338,15,1014
"E07000211",58.82353,15,1014
"E07000221",54.0275,15,1014
"E10000007",54.37183,15,1014
"E07000235",56.54321,15,1014
"E06000011",52.38376,15,1014
"E07000109",50.89059,15,1014
"E07000121",53.56522,15,1014
"E06000023",57.53715,15,1014
"E08000013",50.88608,15,1014
"E07000122",51.8732,15,1014
"E07000188",62.23776,15,1014
"E06000051",53.05019,15,1014
"E08000005",54.3179,15,1014
"E06000005",56.14407,15,1014
"E07000228",56.11511,15,1014
"E07000219",53.82831,15,1014
"E08000003",49.92888,15,1014
"E07000112",51.22449,15,1014
"E07000072",58.22981,15,1014
"E07000172",62.80088,15,1014
"E08000010",54.34624,15,1014
"E07000046",58.98058,15,1014
"E07000197",58.23224,15,1014
"E09000021",61.32597,15,1014
"E07000032",51.49813,15,1014
"E07000177",53.2967,15,1014
"E07000147",54.74453,15,1014
"E07000179",60.62847,15,1014
"E07000220",48.06202,15,1014
"E10000012",58.66118,15,1014
"E06000008",50.96525,15,1014
"E10000030",57.2487,15,1014
"E12000001",52.54195,15,1014
"E09000015",57.30825,15,1014
"E06000039",46.59864,15,1014
"E07000026",51.64609,15,1014
"E07000196",52.93006,15,1014
"E06000017",61.45833,15,1014
"E10000034",56.102,15,1014
"E07000216",62.20657,15,1014
"E07000146",59.67742,15,1014
"E06000027",56.14702,15,1014
"E06000021",51.00095,15,1014
"E07000108",52.22222,15,1014
"E06000009",54.15987,15,1014
"E07000039",52.90102,15,1014
"E07000086",59.1002,15,1014
"E07000068",60.42945,15,1014
"E08000030",52.56167,15,1014
"E07000034",51.50215,15,1014
"E07000124",56.80934,15,1014
"E10000023",54.82974,15,1014
"E07000126",52.17391,15,1014
"E06000056",59.26285,15,1014
"E07000127",56.29139,15,1014
"E06000001",47.98206,15,1014
"E08000029",60.88596,15,1014
"E08000012",50.70866,15,1014
"E10000020",56.59051,15,1014
"E07000143",56.10738,15,1014
"E10000013",56.39243,15,1014
"E08000015",52.0625,15,1014
"E07000134",58.39793,15,1014
"E07000176",57.62332,15,1014
"E07000012",58.85886,15,1014
"E06000043",54.80549,15,1014
"E12000006",57.73961,15,1014
"E08000025",55.6489,15,1014
"E07000209",54.47761,15,1014
"E08000011",49.21384,15,1014
"E06000034",52.84404,15,1014
"E07000132",55.76923,15,1014
"E07000215",54.11765,15,1014
"E07000028",55.44355,15,1014
"E07000029",54.08451,15,1014
"E08000001",56.05606,15,1014
"E10000032",55.97615,15,1014
"E12000005",54.34049,15,1014
"E06000030",55.80774,15,1014
"E07000096",58.83392,15,1014
"E07000065",56.34029,15,1014
"E07000225",58.85023,15,1014
"E07000069",55.71429,15,1014
"E07000070",61.347,15,1014
"E09000024",52.18094,15,1014
"E07000073",58.19209,15,1014
"E06000058",57.39821,15,1014
"E07000090",55.55556,15,1014
"E06000025",56.73506,15,1014
"E07000123",52.94118,15,1014
"E92000001",55.135,15,1014
"E08000004",52.88018,15,1014
"E07000125",52.48227,15,1014
"E07000040",56.691,15,1014
"E06000050",56.86922,15,1014
"E06000015",49.65035,15,1014
"E08000007",55.79119,15,1014
"E07000102",54.78261,15,1014
"E07000241",60.78947,15,1014
"E09000026",56.92068,15,1014
"E10000017",53.53414,15,1014
"E07000092",60.33898,15,1014
"E08000021",52.76339,15,1014
"E08000019",53.97871,15,1014
"E08000023",52,15,1014
"E06000013",52.6749,15,1014
"E07000238",57.04698,15,1014
"E06000014",56.02094,15,1014
"E07000208",58.56698,15,1014
"E06000033",57.16163,15,1014
"E06000004",54.6798,15,1014
"E09000012",55.79832,15,1014
"E07000033",54.1779,15,1014
"E07000031",61.22047,15,1014
"E08000032",53.3105,15,1014
"E08000033",48.19588,15,1014
"E07000194",55.67568,15,1014
"E06000016",50.32258,15,1014
"E06000022",56.44699,15,1014
"E06000018",54.4086,15,1014
"E07000195",50.48733,15,1014
"E09000004",55.05376,15,1014
"E07000118",59.73535,15,1014
"E07000035",59.47368,15,1014
"E07000038",58.87097,15,1014
"E06000047",50.74431,15,1014
"E12000004",55.09524,15,1014
"E07000041",58.75912,15,1014
"E07000110",53.85852,15,1014
"E10000018",56.23482,15,1014
"E07000111",59.66543,15,1014
"E07000130",51.81818,15,1014
"E07000103",57.95053,15,1014
