"areacd","value","id","xDomainNumb"
"E08000001",19.23874,38,2018
"E09000029",21.58813,38,2018
"E08000010",21.0349,38,2018
"E10000019",21.40824,38,2018
"E08000032",22.73706,38,2018
"E08000005",20.26138,38,2018
"E10000029",20.74534,38,2018
"E06000041",25.12902,38,2018
"E06000003",21.73979,38,2018
"E06000007",19.79273,38,2018
"E08000006",22.41671,38,2018
"E92000001",20.37804,38,2018
"E06000051",21.91995,38,2018
"E10000023",24.00032,38,2018
"E06000014",23.19544,38,2018
"E06000057",20.01517,38,2018
"E08000019",22.86867,38,2018
"E06000018",18.26692,38,2018
"E08000009",18.90778,38,2018
"E10000024",19.91942,38,2018
"E06000039",17.15793,38,2018
"E06000044",23.45485,38,2018
"E06000023",24.0005,38,2018
"E06000034",21.22371,38,2018
"E10000015",23.09453,38,2018
"E09000007",16.97248,38,2018
"E12000001",21.22467,38,2018
"E06000019",22.05617,38,2018
"E12000003",21.77967,38,2018
"E06000006",21.50248,38,2018
"E10000025",24.17785,38,2018
"E08000034",20.22422,38,2018
"E08000007",23.44427,38,2018
"E06000010",17.97986,38,2018
"E06000038",21.9763,38,2018
"E08000022",19.04623,38,2018
"E10000030",25.43217,38,2018
"E12000004",20.47069,38,2018
"E06000053",8.33333,38,2018
"E06000017",16.22074,38,2018
"E06000026",21.71434,38,2018
"E10000013",22.32416,38,2018
"E10000008",21.1564,38,2018
"E08000025",17.19031,38,2018
"E12000006",21.33878,38,2018
"E06000031",18.07927,38,2018
"E10000020",21.82967,38,2018
"E06000047",19.91365,38,2018
"E09000020",16.37267,38,2018
"E06000050",24.02562,38,2018
"E09000015",16.9457,38,2018
"E09000018",15.70975,38,2018
"E09000031",16.25677,38,2018
"E06000043",23.95595,38,2018
"E08000015",24.39374,38,2018
"E06000045",23.45997,38,2018
"E06000013",20.57125,38,2018
"E08000028",16.82305,38,2018
"E06000040",22.84674,38,2018
"E08000016",22.66213,38,2018
"E10000011",23.9938,38,2018
"E10000016",25.14338,38,2018
"E08000018",22.07397,38,2018
"E08000036",25.42443,38,2018
"E06000052",22.29248,38,2018
"E06000027",21.90855,38,2018
"E06000030",19.94512,38,2018
"E06000005",19.83009,38,2018
"E10000027",23.07125,38,2018
"E06000021",18.74804,38,2018
"E06000020",19.592,38,2018
"E12000002",20.44209,38,2018
"E09000002",17.71721,38,2018
"E09000009",15.67626,38,2018
"E09000001",8.57143,38,2018
"E06000001",21.70182,38,2018
"E06000004",19.96105,38,2018
"E08000037",22.86593,38,2018
"E09000032",15.79443,38,2018
"E08000023",20.81639,38,2018
"E10000034",23.96175,38,2018
"E08000033",19.39897,38,2018
"E09000011",16.78142,38,2018
"E10000006",21.57498,38,2018
"E09000017",21.08611,38,2018
"E09000021",20.59849,38,2018
"E09000027",20.11283,38,2018
"E06000036",18.85106,38,2018
"E06000042",20.45653,38,2018
"E06000035",21.23592,38,2018
"E06000012",19.73101,38,2018
"E06000037",23.38129,38,2018
"E08000026",19.12252,38,2018
"E09000033",13.75668,38,2018
"E06000009",19.18873,38,2018
"E06000022",26.1007,38,2018
"E06000016",19.01778,38,2018
"E06000059",33.33333,38,2018
"E06000025",24.45469,38,2018
"E09000019",16.01153,38,2018
"E08000013",22.14871,38,2018
"E09000025",13.75594,38,2018
"E10000031",22.92916,38,2018
"E09000016",22.12235,38,2018
"E06000008",20.2517,38,2018
"E08000031",15.31758,38,2018
"E06000049",23.04714,38,2018
"E10000032",24.06642,38,2018
"E06000032",16.52772,38,2018
"E09000013",17.48275,38,2018
"E12000009",22.68122,38,2018
"E09000030",12.62806,38,2018
"E08000027",22.76006,38,2018
"E08000017",21.56326,38,2018
"E09000010",18.24726,38,2018
"E10000017",19.72145,38,2018
"E08000003",15.6781,38,2018
"E06000015",21.47477,38,2018
"E08000008",17.95047,38,2018
"E09000012",12.96804,38,2018
"E09000014",14.76878,38,2018
"E06000046",21.95059,38,2018
"E08000014",22.88088,38,2018
"E06000011",20.54205,38,2018
"E06000054",22.54822,38,2018
"E08000024",24.01642,38,2018
"E10000014",22.79026,38,2018
"E06000058",43.66197,38,2018
"E10000003",21.04128,38,2018
"E09000024",16.75482,38,2018
"E06000024",25.72301,38,2018
"E10000007",20.38615,38,2018
"E08000035",21.44001,38,2018
"E12000005",19.19234,38,2018
"E06000002",22.92909,38,2018
"E09000022",15.62873,38,2018
"E06000033",20.78928,38,2018
"E08000004",18.90325,38,2018
"E10000012",22.29807,38,2018
"E09000026",16.02685,38,2018
"E08000021",21.65065,38,2018
"E08000012",21.44731,38,2018
"E09000023",15.39504,38,2018
"E06000055",19.6967,38,2018
"E09000028",14.08138,38,2018
"E09000008",17.76855,38,2018
"E06000056",23.43855,38,2018
"E10000018",22.87986,38,2018
"E08000002",21.15412,38,2018
"E12000008",23.56913,38,2018
"E08000029",20.84382,38,2018
"E10000028",21.50657,38,2018
"E09000003",14.23589,38,2018
"E08000011",23.5026,38,2018
"E09000004",22.63409,38,2018
"E09000005",14.34358,38,2018
"E08000030",19.37263,38,2018
"E09000006",22.47633,38,2018
"E06000059",25.14019,38,2020
"E08000013",27.73764,38,2020
"E08000009",21.74658,38,2020
"E08000017",25.9168,38,2020
"E06000051",23.8308,38,2020
"E08000014",27.47036,38,2020
"E06000016",21.16374,38,2020
"E06000054",23.58989,38,2020
"E08000005",23.68797,38,2020
"E08000018",23.70896,38,2020
"E06000050",26.3657,38,2020
"E10000006",20.64143,38,2020
"E12000002",23.38932,38,2020
"E06000052",22.09969,38,2020
"E08000019",28.72486,38,2020
"E08000012",25.13922,38,2020
"E06000039",23.58759,38,2020
"E06000040",24.76929,38,2020
"E08000001",17.54761,38,2020
"E08000003",19.78239,38,2020
"E06000053",36.36364,38,2020
"E08000023",19.68281,38,2020
"E10000032",25.98277,38,2020
"E08000034",23.34032,38,2020
"E06000006",25.87943,38,2020
"E12000009",25.59531,38,2020
"E06000018",23.16726,38,2020
"E06000017",18.50746,38,2020
"E10000029",23.12736,38,2020
"E08000010",23.73394,38,2020
"E10000013",24.53704,38,2020
"E06000002",23.86576,38,2020
"E06000057",24.58239,38,2020
"E12000003",25.34579,38,2020
"E08000037",24.01941,38,2020
"E08000029",26.35299,38,2020
"E09000002",20.17941,38,2020
"E08000033",23.23373,38,2020
"E06000007",20.87371,38,2020
"E09000018",17.36869,38,2020
"E09000021",23.11034,38,2020
"E09000026",17.43574,38,2020
"E92000001",23.20222,38,2020
"E06000010",24.07997,38,2020
"E06000038",24.21858,38,2020
"E06000012",26.05671,38,2020
"E06000037",26.09473,38,2020
"E10000023",25.02347,38,2020
"E10000014",23.78367,38,2020
"E06000023",31.08811,38,2020
"E06000015",23.15914,38,2020
"E12000004",22.66098,38,2020
"E06000026",23.14255,38,2020
"E06000027",28.1945,38,2020
"E10000019",23.09893,38,2020
"E10000030",26.54689,38,2020
"E10000012",23.99454,38,2020
"E10000020",25.61014,38,2020
"E09000022",19.10965,38,2020
"E06000020",24.59373,38,2020
"E09000025",18.26224,38,2020
"E08000024",23.43552,38,2020
"E06000049",26.81619,38,2020
"E10000016",27.532,38,2020
"E08000007",25.32844,38,2020
"E08000008",18.29488,38,2020
"E09000029",25.32292,38,2020
"E06000035",25.24825,38,2020
"E06000011",20.82884,38,2020
"E09000003",16.48089,38,2020
"E06000058",24.6225,38,2020
"E06000024",26.48,38,2020
"E09000027",24.02219,38,2020
"E10000031",27.16574,38,2020
"E08000025",21.90844,38,2020
"E08000028",20.38579,38,2020
"E08000032",29.49214,38,2020
"E06000034",20.11614,38,2020
"E06000047",22.34128,38,2020
"E06000001",26.5793,38,2020
"E08000022",18.68191,38,2020
"E06000041",26.74772,38,2020
"E08000002",22.78912,38,2020
"E08000004",25.00373,38,2020
"E09000024",20.85454,38,2020
"E06000043",24.40151,38,2020
"E06000019",25.14415,38,2020
"E10000027",24.71427,38,2020
"E06000042",20.56038,38,2020
"E06000044",23.60616,38,2020
"E08000026",22.84788,38,2020
"E06000013",25.26188,38,2020
"E06000008",24.08655,38,2020
"E08000036",25.91814,38,2020
"E09000007",20.26069,38,2020
"E10000028",23.09451,38,2020
"E06000004",23.16448,38,2020
"E08000021",25.16476,38,2020
"E10000011",26.17545,38,2020
"E08000016",23.56828,38,2020
"E08000031",18.63769,38,2020
"E09000010",21.38736,38,2020
"E09000017",22.36446,38,2020
"E10000015",23.47394,38,2020
"E06000030",23.77859,38,2020
"E09000031",22.69281,38,2020
"E09000012",15.40301,38,2020
"E06000005",21.26717,38,2020
"E06000036",19.90682,38,2020
"E10000008",27.46411,38,2020
"E09000020",17.36481,38,2020
"E06000046",24.58611,38,2020
"E06000003",21.004,38,2020
"E06000045",26.34674,38,2020
"E09000032",20.5931,38,2020
"E09000005",18.07574,38,2020
"E09000004",24.69251,38,2020
"E09000006",23.66225,38,2020
"E09000015",19.95066,38,2020
"E09000016",19.46574,38,2020
"E12000001",23.01075,38,2020
"E09000014",19.12456,38,2020
"E09000019",20.24157,38,2020
"E08000015",24.85091,38,2020
"E06000014",27.05816,38,2020
"E09000033",19.1457,38,2020
"E06000009",21.32445,38,2020
"E08000030",24.24915,38,2020
"E06000056",25.7166,38,2020
"E06000032",19.68674,38,2020
"E06000022",26.11276,38,2020
"E10000024",22.37328,38,2020
"E10000018",24.78386,38,2020
"E09000030",13.62802,38,2020
"E06000021",24.75022,38,2020
"E09000028",17.38013,38,2020
"E12000006",23.59488,38,2020
"E08000027",25.09716,38,2020
"E09000008",19.52687,38,2020
"E09000009",18.01995,38,2020
"E06000033",27.68114,38,2020
"E06000031",21.30195,38,2020
"E09000011",17.5407,38,2020
"E09000013",18.70566,38,2020
"E10000003",23.99303,38,2020
"E09000001",3.125,38,2020
"E06000055",21.4005,38,2020
"E06000025",27.06605,38,2020
"E12000005",23.08973,38,2020
"E08000006",28.64373,38,2020
"E10000007",21.051,38,2020
"E12000008",25.43593,38,2020
"E09000023",18.28551,38,2020
"E10000017",23.10795,38,2020
"E08000035",23.19007,38,2020
"E10000025",25.17621,38,2020
"E08000011",27.26632,38,2020
"E10000034",25.58064,38,2020
