"midpoint","count"
0,0
0.11,0
0.33,0
0.55,0
0.77,0
0.99,1
1.21,0
1.43,2
1.65,0
1.87,1
2.09,4
2.31,5
2.53,5
2.75,3
2.97,8
3.19,7
3.41,3
3.63,12
3.85,5
4.07,5
4.29,19
4.51,13
4.73,8
4.95,12
5.17,9
5.39,14
5.61,9
5.83,7
6.05,11
6.27,9
6.49,19
6.71,7
6.93,8
7.15,6
7.37,11
7.59,15
7.81,6
8.03,5
8.25,8
8.47,2
8.69,8
8.91,4
9.13,7
9.35,6
9.57,4
9.79,7
10.01,4
10.23,5
10.45,2
10.67,3
10.89,4
11.11,0
11.33,0
11.55,3
11.77,2
11.99,1
12.21,4
12.43,0
12.65,0
12.87,2
13.09,3
13.31,0
13.53,0
13.75,0
13.97,0
14.19,0
14.41,0
14.63,0
14.85,0
15.07,0
15.29,0
15.51,0
15.73,1
15.95,0
16.17,0
16.39,1
16.61,0
16.83,0
17.05,0
17.27,0
17.49,1
17.71,1
17.93,0
18.15,0
18.37,0
18.59,1
18.81,1
19.03,0
19.25,0
19.47,0
19.69,0
19.91,0
20.13,0
20.35,0
20.57,0
20.79,0
21.01,0
21.23,1
21.45,0
21.67,0
21.89,1
22.11,0
22.33,0
