"midpoint","count"
0,0
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,0
9.5,0
10.5,0
11.5,0
12.5,0
13.5,0
14.5,0
15.5,0
16.5,0
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.5,0
34.5,0
35.5,0
36.5,0
37.5,0
38.5,0
39.5,0
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,0
57.5,0
58.5,0
59.5,0
60.5,0
61.5,2
62.5,1
63.5,3
64.5,0
65.5,5
66.5,1
67.5,10
68.5,9
69.5,12
70.5,17
71.5,17
72.5,18
73.5,27
74.5,18
75.5,25
76.5,37
77.5,27
78.5,21
79.5,20
80.5,15
81.5,19
82.5,13
83.5,7
84.5,15
85.5,5
86.5,3
87.5,3
88.5,0
89.5,2
90.5,1
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,1
100.5,0
101.5,0
