"midpoint","count"
0,0
0.055,0
0.165,0
0.275,0
0.385,0
0.495,0
0.605,0
0.715,0
0.825,0
0.935,1
1.045,2
1.155,3
1.265,2
1.375,2
1.485,2
1.595,5
1.705,5
1.815,3
1.925,2
2.035,6
2.145,9
2.255,2
2.365,2
2.475,8
2.585,10
2.695,5
2.805,7
2.915,6
3.025,10
3.135,3
3.245,10
3.355,2
3.465,6
3.575,2
3.685,8
3.795,5
3.905,3
4.015,6
4.125,6
4.235,5
4.345,9
4.455,6
4.565,5
4.675,3
4.785,6
4.895,4
5.005,4
5.115,4
5.225,5
5.335,7
5.445,2
5.555,2
5.665,3
5.775,2
5.885,0
5.995,3
6.105,6
6.215,2
6.325,1
6.435,2
6.545,2
6.655,2
6.765,2
6.875,4
6.985,0
7.095,1
7.205,1
7.315,0
7.425,0
7.535,1
7.645,1
7.755,0
7.865,0
7.975,0
8.085,1
8.195,2
8.305,0
8.415,1
8.525,0
8.635,1
8.745,1
8.855,0
8.965,0
9.075,1
9.185,0
9.295,0
9.405,0
9.515,0
9.625,0
9.735,0
9.845,2
9.955,0
10.065,0
10.175,0
10.285,0
10.395,1
10.505,0
10.615,0
10.725,0
10.835,0
10.945,0
11.055,0
11.165,0
