"midpoint","count"
0,0
0.275,0
0.825,0
1.375,0
1.925,0
2.475,0
3.025,0
3.575,0
4.125,0
4.675,0
5.225,0
5.775,0
6.325,0
6.875,0
7.425,0
7.975,0
8.525,0
9.075,0
9.625,0
10.175,0
10.725,0
11.275,0
11.825,0
12.375,0
12.925,0
13.475,0
14.025,0
14.575,0
15.125,0
15.675,0
16.225,0
16.775,0
17.325,0
17.875,0
18.425,0
18.975,0
19.525,0
20.075,0
20.625,0
21.175,0
21.725,0
22.275,0
22.825,0
23.375,0
23.925,0
24.475,0
25.025,0
25.575,0
26.125,0
26.675,0
27.225,0
27.775,0
28.325,0
28.875,1
29.425,1
29.975,1
30.525,1
31.075,0
31.625,3
32.175,4
32.725,3
33.275,3
33.825,5
34.375,2
34.925,5
35.475,9
36.025,7
36.575,9
37.125,10
37.675,13
38.225,11
38.775,6
39.325,7
39.875,12
40.425,10
40.975,15
41.525,20
42.075,18
42.625,22
43.175,12
43.725,22
44.275,13
44.825,10
45.375,12
45.925,5
46.475,19
47.025,12
47.575,8
48.125,16
48.675,7
49.225,8
49.775,10
50.325,4
50.875,7
51.425,7
51.975,1
52.525,0
53.075,1
53.625,1
54.175,0
54.725,1
55.275,0
55.825,0
