"midpoint","count"
0,0
739.065,0
2217.195,0
3695.325,0
5173.455,0
6651.585,0
8129.715,0
9607.845,0
11085.975,0
12564.105,0
14042.235,3
15520.365,19
16998.495,61
18476.625,54
19954.755,70
21432.885,37
22911.015,38
24389.145,26
25867.275,14
27345.405,17
28823.535,9
30301.665,12
31779.795,1
33257.925,4
34736.055,1
36214.185,0
37692.315,0
39170.445,0
40648.575,2
42126.705,1
43604.835,2
45082.965,0
46561.095,0
48039.225,1
49517.355,0
50995.485,0
52473.615,0
53951.745,0
55429.875,0
56908.005,0
58386.135,0
59864.265,0
61342.395,0
62820.525,0
64298.655,0
65776.785,0
67254.915,0
68733.045,0
70211.175,0
71689.305,0
73167.435,0
74645.565,0
76123.695,0
77601.825,0
79079.955,1
80558.085,0
82036.215,0
83514.345,0
84992.475,0
86470.605,0
87948.735,0
89426.865,0
90904.995,0
92383.125,0
93861.255,0
95339.385,0
96817.515,0
98295.645,0
99773.775,0
101251.905,0
102730.035,0
104208.165,0
105686.295,0
107164.425,0
108642.555,0
110120.685,0
111598.815,0
113076.945,0
114555.075,0
116033.205,0
117511.335,0
118989.465,0
120467.595,0
121945.725,0
123423.855,0
124901.985,0
126380.115,0
127858.245,0
129336.375,0
130814.505,0
132292.635,0
133770.765,0
135248.895,0
136727.025,0
138205.155,0
139683.285,0
141161.415,0
142639.545,0
144117.675,0
145595.805,0
147073.935,1
148552.065,0
150030.195,0
