"midpoint","count"
0,0
83.955,83
251.865,58
419.775,29
587.685,34
755.595,13
923.505,12
1091.415,15
1259.325,4
1427.235,9
1595.145,10
1763.055,5
1930.965,3
2098.875,5
2266.785,9
2434.695,9
2602.605,4
2770.515,6
2938.425,2
3106.335,2
3274.245,6
3442.155,5
3610.065,3
3777.975,4
3945.885,2
4113.795,2
4281.705,2
4449.615,5
4617.525,2
4785.435,5
4953.345,2
5121.255,1
5289.165,1
5457.075,2
5624.985,0
5792.895,0
5960.805,1
6128.715,2
6296.625,0
6464.535,0
6632.445,0
6800.355,0
6968.265,0
7136.175,1
7304.085,0
7471.995,0
7639.905,1
7807.815,0
7975.725,0
8143.635,0
8311.545,0
8479.455,0
8647.365,1
8815.275,0
8983.185,1
9151.095,0
9319.005,0
9486.915,0
9654.825,1
9822.735,1
9990.645,0
10158.555,0
10326.465,0
10494.375,0
10662.285,0
10830.195,0
10998.105,1
11166.015,1
11333.925,0
11501.835,0
11669.745,0
11837.655,0
12005.565,1
12173.475,0
12341.385,0
12509.295,1
12677.205,0
12845.115,1
13013.025,1
13180.935,0
13348.845,0
13516.755,0
13684.665,0
13852.575,0
14020.485,0
14188.395,0
14356.305,0
14524.215,0
14692.125,1
14860.035,0
15027.945,0
15195.855,0
15363.765,0
15531.675,0
15699.585,0
15867.495,0
16035.405,0
16203.315,0
16371.225,0
16539.135,0
16707.045,2
16874.955,0
17042.865,0
