"midpoint","count"
0,0
0.37,0
1.11,0
1.85,0
2.59,0
3.33,0
4.07,0
4.81,0
5.55,0
6.29,0
7.03,0
7.77,0
8.51,0
9.25,0
9.99,0
10.73,0
11.47,0
12.21,0
12.95,0
13.69,0
14.43,0
15.17,0
15.91,0
16.65,0
17.39,0
18.13,0
18.87,0
19.61,0
20.35,0
21.09,0
21.83,0
22.57,0
23.31,1
24.05,2
24.79,1
25.53,4
26.27,7
27.01,11
27.75,11
28.49,15
29.23,17
29.97,18
30.71,25
31.45,16
32.19,21
32.93,15
33.67,24
34.41,19
35.15,11
35.89,19
36.63,19
37.37,7
38.11,19
38.85,6
39.59,6
40.33,7
41.07,8
41.81,2
42.55,5
43.29,4
44.03,4
44.77,1
45.51,1
46.25,4
46.99,2
47.73,2
48.47,2
49.21,2
49.95,2
50.69,4
51.43,3
52.17,3
52.91,2
53.65,0
54.39,0
55.13,0
55.87,0
56.61,1
57.35,0
58.09,1
58.83,1
59.57,0
60.31,1
61.05,1
61.79,1
62.53,0
63.27,0
64.01,0
64.75,1
65.49,0
66.23,0
66.97,0
67.71,1
68.45,1
69.19,0
69.93,1
70.67,0
71.41,0
72.15,0
72.89,0
73.63,1
74.37,0
75.11,0
