"midpoint","count"
0,0
5702.625,2
17107.875,1
28513.125,2
39918.375,1
51323.625,6
62728.875,9
74134.125,11
85539.375,22
96944.625,39
108349.875,28
119755.125,29
131160.375,27
142565.625,26
153970.875,27
165376.125,9
176781.375,16
188186.625,8
199591.875,6
210997.125,10
222402.375,5
233807.625,4
245212.875,6
256618.125,7
268023.375,8
279428.625,6
290833.875,7
302239.125,3
313644.375,2
325049.625,11
336454.875,6
347860.125,4
359265.375,2
370670.625,2
382075.875,3
393481.125,3
404886.375,0
416291.625,0
427696.875,0
439102.125,1
450507.375,0
461912.625,1
473317.875,0
484723.125,0
496128.375,1
507533.625,1
518938.875,0
530344.125,2
541749.375,2
553154.625,1
564559.875,0
575965.125,1
587370.375,1
598775.625,0
610180.875,0
621586.125,0
632991.375,1
644396.625,0
655801.875,0
667207.125,0
678612.375,0
690017.625,0
701422.875,0
712828.125,0
724233.375,0
735638.625,0
747043.875,0
758449.125,0
769854.375,0
781259.625,0
792664.875,0
804070.125,1
815475.375,0
826880.625,0
838285.875,0
849691.125,0
861096.375,0
872501.625,0
883906.875,0
895312.125,0
906717.375,0
918122.625,0
929527.875,0
940933.125,0
952338.375,0
963743.625,0
975148.875,0
986554.125,0
997959.375,0
1009364.625,0
1020769.875,0
1032175.125,0
1043580.375,0
1054985.625,0
1066390.875,0
1077796.125,0
1089201.375,0
1100606.625,0
1112011.875,0
1123417.125,0
1134822.375,1
1146227.625,0
1157632.875,0
